stress_level,method,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
0.0,reward_model_rlhf_surrogate,80.0,0.601953,0.011346,0.602749,0.559937,0.010231,0.309501,0.002168,0.083794,0.004349,0.064207,0.004189,0.067498,0.176361,0.078166,0.415146,0.06183,0.067913,0.300075
0.0,constraint_aware_planner,80.0,0.612422,0.011278,0.612545,0.59659,0.009782,0.398123,0.002214,0.0639,0.003272,0.047877,0.002668,0.084025,0.243569,0.07281,0.477148,0.056524,0.065655,0.263422
0.0,side_effect_classifier_baseline,80.0,0.632448,0.011489,0.63044,0.632012,0.009853,0.454833,0.00225,0.056902,0.002845,0.049173,0.002736,0.077634,0.233285,0.070395,0.516434,0.053519,0.063646,0.228
0.0,physical_affordance_penalty,80.0,0.642018,0.010796,0.641129,0.646113,0.009077,0.46168,0.002159,0.053773,0.002706,0.04355,0.002186,0.085345,0.212453,0.069271,0.5289,0.053125,0.063202,0.213899
0.0,risk_calibrated_reward_model,80.0,0.654648,0.011337,0.655324,0.679777,0.009397,0.500318,0.00213,0.044059,0.002393,0.042184,0.002163,0.06734,0.208825,0.065712,0.609762,0.049612,0.060089,0.180235
0.0,proposed_side_effect_preference_model_v4,80.0,0.682565,0.010959,0.680587,0.724331,0.009037,0.570865,0.002105,0.032529,0.001807,0.038021,0.001813,0.065464,0.190765,0.062459,0.627773,0.048055,0.060304,0.135681
0.0,side_effect_causal_preference_model_v5,80.0,0.709753,0.010175,0.710534,0.778058,0.008275,0.633708,0.002174,0.022293,0.001427,0.032459,0.001292,0.053221,0.175477,0.057872,0.722217,0.04111,0.055365,0.081954
0.0,human_query_max_uncertainty,80.0,0.632487,0.01093,0.629821,0.634509,0.009215,0.487909,0.002175,0.055662,0.002849,0.050416,0.002916,0.068078,0.399681,0.068352,0.590552,0.052899,0.060066,0.225503
0.0,conservative_safety_filter,80.0,0.616628,0.01129,0.616697,0.616581,0.009422,0.454579,0.002133,0.055496,0.00256,0.039745,0.001894,0.101374,0.237461,0.069889,0.493327,0.053184,0.065045,0.243431
0.0,oracle_human_side_effect_judge,80.0,0.782708,0.009262,0.782367,0.860012,0.007468,0.668454,0.002133,0.012128,0.001129,0.026035,0.000945,0.039727,0.163517,0.053839,0.794023,0.036928,0.052396,0.0
0.2,reward_model_rlhf_surrogate,80.0,0.579779,0.011926,0.577619,0.528024,0.011261,0.297779,0.00219,0.095938,0.005202,0.071723,0.00494,0.075782,0.183164,0.084665,0.410294,0.079212,0.085152,0.315288
0.2,constraint_aware_planner,80.0,0.590677,0.011581,0.5901,0.567929,0.010031,0.387426,0.002143,0.072426,0.003847,0.052702,0.003071,0.091677,0.250262,0.078057,0.472957,0.070413,0.080535,0.275383
0.2,side_effect_classifier_baseline,80.0,0.607812,0.011455,0.608969,0.601879,0.009821,0.443577,0.002074,0.064148,0.003379,0.054276,0.003239,0.084911,0.240033,0.074976,0.512997,0.063757,0.077806,0.241434
0.2,physical_affordance_penalty,80.0,0.621133,0.011048,0.619832,0.61988,0.009667,0.451557,0.002143,0.060356,0.003076,0.047272,0.002567,0.093037,0.219092,0.073455,0.526255,0.063994,0.076767,0.223432
0.2,risk_calibrated_reward_model,80.0,0.636042,0.010875,0.634433,0.656348,0.009123,0.49116,0.002207,0.049956,0.002752,0.046235,0.002484,0.07353,0.215847,0.069284,0.606593,0.058868,0.069828,0.186965
0.2,proposed_side_effect_preference_model_v4,80.0,0.663372,0.010843,0.661146,0.701173,0.009045,0.560659,0.002156,0.036887,0.002004,0.041153,0.002039,0.072598,0.19806,0.065324,0.625287,0.054238,0.071275,0.142139
0.2,side_effect_causal_preference_model_v5,80.0,0.691979,0.010523,0.692871,0.758484,0.008614,0.624615,0.002161,0.025122,0.001591,0.034154,0.001455,0.058297,0.182882,0.059325,0.720469,0.044119,0.060267,0.084828
