stress_level,method,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
0.2,human_query_max_uncertainty,80.0,0.609232,0.011283,0.607756,0.605977,0.009844,0.478258,0.002248,0.063322,0.003402,0.055953,0.003395,0.07454,0.408126,0.072561,0.587329,0.064001,0.069187,0.237335
0.2,conservative_safety_filter,80.0,0.593945,0.011286,0.594848,0.588741,0.009574,0.444341,0.002171,0.061897,0.002977,0.042784,0.0022,0.109567,0.24399,0.074298,0.490113,0.064724,0.080425,0.254571
0.2,oracle_human_side_effect_judge,80.0,0.765807,0.009271,0.765519,0.843312,0.007565,0.660734,0.002192,0.012836,0.001147,0.026678,0.00096,0.043815,0.170375,0.054134,0.793469,0.038023,0.053749,0.0
0.4,reward_model_rlhf_surrogate,80.0,0.554779,0.012155,0.552368,0.493693,0.011779,0.286847,0.002162,0.108011,0.005936,0.079919,0.005678,0.084358,0.189967,0.091278,0.405202,0.097082,0.102654,0.334168
0.4,constraint_aware_planner,80.0,0.567917,0.01139,0.567477,0.538433,0.010201,0.375993,0.002222,0.080524,0.0044,0.057701,0.003553,0.099921,0.256956,0.083339,0.46952,0.084407,0.095275,0.289428
0.4,side_effect_classifier_baseline,80.0,0.585482,0.012005,0.587213,0.573485,0.010721,0.432377,0.002252,0.071406,0.003869,0.059409,0.003767,0.092597,0.246781,0.079469,0.509523,0.074718,0.091983,0.254376
0.4,physical_affordance_penalty,80.0,0.600716,0.011052,0.598009,0.593802,0.009652,0.441157,0.002132,0.067073,0.003527,0.051625,0.002963,0.100121,0.225731,0.07773,0.523057,0.074829,0.089807,0.234059
0.4,risk_calibrated_reward_model,80.0,0.613685,0.011501,0.614075,0.629779,0.009896,0.481139,0.002144,0.056164,0.003166,0.050029,0.002831,0.080161,0.222869,0.072684,0.603812,0.0682,0.079259,0.198082
0.4,proposed_side_effect_preference_model_v4,80.0,0.639336,0.011471,0.642041,0.674298,0.009683,0.550081,0.002152,0.040652,0.002297,0.04422,0.002419,0.079489,0.205356,0.068432,0.622944,0.059952,0.082487,0.153563
0.4,side_effect_causal_preference_model_v5,80.0,0.672708,0.010245,0.674716,0.73759,0.008395,0.61502,0.002173,0.027482,0.001719,0.036077,0.001563,0.063435,0.190287,0.06111,0.718926,0.047337,0.065837,0.090271
0.4,human_query_max_uncertainty,80.0,0.585091,0.012071,0.586056,0.576822,0.010853,0.468317,0.002164,0.070991,0.003984,0.06092,0.003979,0.080629,0.41657,0.076807,0.584414,0.075729,0.078546,0.251039
0.4,conservative_safety_filter,80.0,0.573919,0.011697,0.573911,0.562743,0.010145,0.433071,0.002105,0.068002,0.003391,0.046167,0.002475,0.117574,0.25052,0.079019,0.486833,0.076508,0.096188,0.265118
0.4,oracle_human_side_effect_judge,80.0,0.75099,0.009965,0.748911,0.827861,0.008092,0.652378,0.002258,0.013627,0.001175,0.027476,0.001045,0.047853,0.177232,0.054943,0.792572,0.039655,0.055859,0.0
0.6,reward_model_rlhf_surrogate,80.0,0.530312,0.012107,0.528079,0.45996,0.012307,0.275184,0.00214,0.119629,0.006792,0.08755,0.006468,0.092998,0.19677,0.098131,0.400049,0.114696,0.119747,0.350082
0.6,constraint_aware_planner,80.0,0.545312,0.01168,0.544473,0.509008,0.010858,0.365009,0.002162,0.089455,0.004988,0.06257,0.00408,0.107381,0.263649,0.088218,0.465815,0.098326,0.110295,0.301035
0.6,side_effect_classifier_baseline,80.0,0.565482,0.011361,0.566087,0.547208,0.010306,0.422948,0.002225,0.078958,0.004336,0.064487,0.004215,0.100059,0.25353,0.084517,0.505961,0.085517,0.10564,0.262834
0.6,physical_affordance_penalty,80.0,0.578008,0.011978,0.576976,0.565705,0.010537,0.429539,0.002248,0.073569,0.004051,0.055571,0.003356,0.107631,0.232369,0.082339,0.519944,0.086083,0.103016,0.244337
0.6,risk_calibrated_reward_model,80.0,0.594258,0.011415,0.593267,0.605545,0.010026,0.470712,0.002257,0.062092,0.003614,0.053727,0.003228,0.086245,0.22989,0.076388,0.600914,0.077684,0.089011,0.204497
0.6,proposed_side_effect_preference_model_v4,80.0,0.621497,0.011695,0.622649,0.652328,0.009905,0.539439,0.002251,0.044414,0.002571,0.04726,0.0026,0.086032,0.212651,0.071443,0.62059,0.066278,0.094127,0.157714
0.6,side_effect_causal_preference_model_v5,80.0,0.657383,0.010741,0.656725,0.719893,0.00885,0.606159,0.002244,0.030155,0.001832,0.038025,0.001805,0.068651,0.197692,0.063236,0.717689,0.050691,0.070995,0.09015
0.6,human_query_max_uncertainty,80.0,0.56819,0.011219,0.564277,0.553441,0.01033,0.458925,0.00219,0.078472,0.00448,0.06659,0.004449,0.086819,0.425015,0.080915,0.580623,0.086572,0.087654,0.256601
0.6,conservative_safety_filter,80.0,0.549701,0.011869,0.552201,0.533416,0.010102,0.421149,0.002131,0.074391,0.003782,0.049469,0.002718,0.125435,0.257049,0.083323,0.483795,0.08751,0.111574,0.276627
0.6,oracle_human_side_effect_judge,80.0,0.733294,0.009973,0.731623,0.810042,0.008101,0.643807,0.002171,0.014765,0.001284,0.028316,0.001075,0.052052,0.18409,0.055698,0.791998,0.040535,0.058016,0.0
0.8,reward_model_rlhf_surrogate,80.0,0.50069,0.012911,0.503277,0.421623,0.013496,0.263994,0.002235,0.132088,0.007728,0.095869,0.007256,0.101626,0.203573,0.105137,0.394038,0.132065,0.137068,0.370498
0.8,constraint_aware_planner,80.0,0.521549,0.012372,0.521884,0.478884,0.011626,0.354091,0.002188,0.097395,0.005525,0.067252,0.004533,0.115058,0.270343,0.093859,0.461943,0.112285,0.125172,0.313237
0.8,side_effect_classifier_baseline,80.0,0.545417,0.012045,0.544234,0.520656,0.01126,0.41111,0.002162,0.086025,0.004988,0.069454,0.00475,0.107816,0.260278,0.088956,0.502416,0.09611,0.119637,0.271465
0.8,physical_affordance_penalty,80.0,0.555091,0.012016,0.556051,0.537834,0.010872,0.419042,0.002188,0.080029,0.004449,0.059346,0.00374,0.114925,0.239008,0.086552,0.516993,0.096886,0.116335,0.254287
0.8,risk_calibrated_reward_model,80.0,0.574036,0.011502,0.572377,0.580963,0.010219,0.461594,0.002149,0.068225,0.004048,0.057464,0.003641,0.092597,0.236912,0.079623,0.598303,0.086931,0.09852,0.211157
0.8,proposed_side_effect_preference_model_v4,80.0,0.603372,0.011022,0.604136,0.630415,0.009393,0.529681,0.002098,0.048237,0.002819,0.050181,0.002942,0.093122,0.219947,0.074452,0.618657,0.072274,0.104907,0.161705
0.8,side_effect_causal_preference_model_v5,80.0,0.64026,0.011289,0.638687,0.700974,0.009261,0.597862,0.002128,0.032559,0.002009,0.0399,0.00195,0.073769,0.205096,0.064916,0.715795,0.053922,0.076128,0.091147
0.8,human_query_max_uncertainty,80.0,0.540352,0.012762,0.542699,0.520965,0.011817,0.448927,0.00217,0.086616,0.004981,0.072014,0.004944,0.09309,0.433459,0.085333,0.577198,0.098093,0.096991,0.271156
0.8,conservative_safety_filter,80.0,0.530911,0.011864,0.531246,0.508654,0.010551,0.410854,0.002179,0.080415,0.004274,0.052948,0.003076,0.13376,0.263578,0.087907,0.480884,0.098986,0.127251,0.283466
0.8,oracle_human_side_effect_judge,80.0,0.715443,0.010801,0.715123,0.792121,0.008772,0.636039,0.002195,0.015925,0.001332,0.028984,0.001133,0.056566,0.190948,0.056575,0.790398,0.041473,0.06004,0.0
1.0,reward_model_rlhf_surrogate,80.0,0.480117,0.01256,0.478663,0.391241,0.013789,0.252347,0.002202,0.143367,0.00852,0.103458,0.008082,0.110015,0.210376,0.111644,0.389321,0.149711,0.154238,0.384029
1.0,constraint_aware_planner,80.0,0.501094,0.012378,0.499151,0.451468,0.012037,0.343335,0.002236,0.10553,0.00619,0.071824,0.005007,0.122902,0.277036,0.098889,0.458122,0.126327,0.140091,0.323802
1.0,side_effect_classifier_baseline,80.0,0.522513,0.012408,0.522427,0.491919,0.01182,0.400839,0.002203,0.093756,0.005509,0.074472,0.005192,0.115446,0.267026,0.09354,0.498824,0.106672,0.133367,0.283351
1.0,physical_affordance_penalty,80.0,0.534714,0.012376,0.534468,0.511875,0.011394,0.408937,0.002302,0.08669,0.004835,0.063452,0.004111,0.122301,0.245647,0.090787,0.514101,0.10787,0.129853,0.263395
1.0,risk_calibrated_reward_model,80.0,0.555299,0.011939,0.552235,0.556816,0.010721,0.450975,0.00219,0.074432,0.004402,0.061658,0.004011,0.099163,0.243934,0.083934,0.59464,0.096226,0.108278,0.218454
1.0,proposed_side_effect_preference_model_v4,80.0,0.588034,0.011379,0.584996,0.610294,0.010003,0.5196,0.002199,0.052624,0.003113,0.053244,0.003235,0.100293,0.227242,0.077346,0.615627,0.078157,0.116204,0.164976
1.0,side_effect_causal_preference_model_v5,80.0,0.618906,0.01134,0.620463,0.678333,0.009475,0.588391,0.00219,0.035322,0.002127,0.041844,0.002145,0.078944,0.212501,0.066619,0.71438,0.057073,0.081708,0.096937
1.0,human_query_max_uncertainty,80.0,0.523047,0.012149,0.520575,0.497491,0.011427,0.439999,0.002218,0.094206,0.005614,0.076957,0.005422,0.099049,0.441904,0.08938,0.573562,0.109516,0.106239,0.277779
1.0,conservative_safety_filter,80.0,0.507839,0.011761,0.509598,0.480385,0.010736,0.39979,0.002162,0.086735,0.004714,0.056086,0.0034,0.141956,0.270108,0.092447,0.477883,0.110147,0.142672,0.294885
1.0,oracle_human_side_effect_judge,80.0,0.698867,0.010404,0.697961,0.77527,0.008451,0.627729,0.002138,0.016945,0.001324,0.029813,0.001158,0.060553,0.197805,0.057421,0.789733,0.042598,0.062111,0.0
