method,task,regime,split,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
success_only_policy,table_clearing,nominal,nominal,0.5629,0.0383,0.0603,0.0026,0.064,0.0026,0.1954,0.0076,0.0462,0.0026,0.053,0.0,0.032,0.0025,0.2102,0.0054,7
success_only_policy,table_clearing,nominal,seen_shift,0.5391,0.0377,0.0602,0.0061,0.0599,0.0025,0.1911,0.0092,0.052,0.0024,0.0617,0.0,0.0346,0.0019,0.2057,0.0063,7
success_only_policy,table_clearing,nominal,unseen_object,0.568,0.0387,0.0704,0.004,0.0628,0.0028,0.1813,0.0058,0.0523,0.0019,0.066,0.0,0.0315,0.0018,0.1999,0.0064,7
success_only_policy,table_clearing,nominal,unseen_side_effect,0.5238,0.072,0.0679,0.0031,0.0671,0.002,0.1521,0.0074,0.0554,0.0026,0.0698,0.0,0.0349,0.0032,0.1931,0.0076,7
success_only_policy,table_clearing,nominal,combined_stress,0.5034,0.0377,0.071,0.0022,0.0674,0.0026,0.1463,0.0075,0.0592,0.0056,0.0766,0.0,0.0357,0.0037,0.1812,0.0103,7
success_only_policy,table_clearing,force_damage,nominal,0.5357,0.0279,0.1026,0.0033,0.0773,0.0031,0.1955,0.0108,0.049,0.0028,0.0593,0.0,0.0805,0.0044,0.2133,0.0052,7
success_only_policy,table_clearing,force_damage,seen_shift,0.4898,0.0246,0.119,0.0053,0.0802,0.0038,0.1867,0.004,0.0509,0.0024,0.0696,0.0,0.0922,0.0026,0.1984,0.0072,7
success_only_policy,table_clearing,force_damage,unseen_object,0.4558,0.0571,0.1362,0.0034,0.0851,0.0025,0.176,0.0085,0.0558,0.0042,0.0748,0.0,0.0999,0.0029,0.2,0.0072,7
success_only_policy,table_clearing,force_damage,unseen_side_effect,0.4422,0.0487,0.1395,0.0038,0.087,0.0026,0.154,0.0076,0.0597,0.0032,0.0792,0.0,0.1142,0.0043,0.1918,0.0045,7
success_only_policy,table_clearing,force_damage,combined_stress,0.4082,0.0496,0.1531,0.0034,0.093,0.0024,0.1621,0.0069,0.0594,0.0029,0.0873,0.0,0.1209,0.003,0.1879,0.0066,7
success_only_policy,table_clearing,object_displacement,nominal,0.5187,0.037,0.13,0.0031,0.0763,0.0041,0.1911,0.009,0.0475,0.0029,0.0589,0.0,0.0554,0.0032,0.2144,0.0044,7
success_only_policy,table_clearing,object_displacement,seen_shift,0.4864,0.0376,0.1566,0.0026,0.0863,0.0023,0.1894,0.0059,0.0529,0.0016,0.0691,0.0,0.0647,0.0032,0.2026,0.0042,7
success_only_policy,table_clearing,object_displacement,unseen_object,0.4881,0.0486,0.1988,0.0042,0.0922,0.0041,0.1772,0.0077,0.055,0.0021,0.0742,0.0,0.0699,0.0038,0.2007,0.0039,7
success_only_policy,table_clearing,object_displacement,unseen_side_effect,0.4796,0.0258,0.1724,0.0058,0.0895,0.0026,0.1517,0.012,0.0574,0.0031,0.0786,0.0,0.0735,0.0036,0.1935,0.0066,7
success_only_policy,table_clearing,object_displacement,combined_stress,0.415,0.0412,0.2075,0.004,0.0955,0.0029,0.1473,0.0047,0.0612,0.0036,0.0867,0.0,0.0779,0.0027,0.1824,0.0071,7
success_only_policy,table_clearing,clutter_accumulation,nominal,0.5493,0.0396,0.1332,0.0034,0.0812,0.0037,0.2011,0.0074,0.0444,0.0028,0.0595,0.0,0.0572,0.001,0.214,0.0074,7
success_only_policy,table_clearing,clutter_accumulation,seen_shift,0.4949,0.0341,0.1564,0.0022,0.0869,0.0029,0.1805,0.0063,0.0514,0.0045,0.0699,0.0,0.0649,0.0026,0.2011,0.0078,7
success_only_policy,table_clearing,clutter_accumulation,unseen_object,0.4405,0.036,0.2127,0.0056,0.0972,0.0022,0.1797,0.0088,0.056,0.0037,0.0751,0.0,0.0699,0.0031,0.1949,0.0054,7
success_only_policy,table_clearing,clutter_accumulation,unseen_side_effect,0.4524,0.0464,0.1728,0.0039,0.0914,0.0039,0.1524,0.008,0.0568,0.0031,0.0795,0.0,0.0746,0.0027,0.1893,0.0058,7
success_only_policy,table_clearing,clutter_accumulation,combined_stress,0.3741,0.0345,0.2149,0.0037,0.1004,0.0026,0.1544,0.0021,0.0635,0.0038,0.0877,0.0,0.0823,0.0018,0.1855,0.0036,7
success_only_policy,table_clearing,unstable_placement,nominal,0.4983,0.0347,0.1195,0.0045,0.08,0.0018,0.2043,0.0108,0.0452,0.0029,0.0597,0.0,0.072,0.0024,0.2163,0.0043,7
success_only_policy,table_clearing,unstable_placement,seen_shift,0.5051,0.0296,0.1391,0.0046,0.0851,0.0021,0.1879,0.006,0.0496,0.0014,0.0701,0.0,0.0801,0.0027,0.2031,0.0035,7
success_only_policy,table_clearing,unstable_placement,unseen_object,0.4592,0.0209,0.1733,0.0032,0.0922,0.003,0.1775,0.0055,0.0533,0.0027,0.0753,0.0,0.0834,0.0022,0.1899,0.0068,7
success_only_policy,table_clearing,unstable_placement,unseen_side_effect,0.4235,0.0238,0.1647,0.0056,0.0955,0.0038,0.1524,0.0058,0.0581,0.0033,0.0798,0.0,0.095,0.0025,0.1934,0.0052,7
success_only_policy,table_clearing,unstable_placement,combined_stress,0.4422,0.0399,0.1917,0.003,0.0998,0.0033,0.1578,0.0112,0.0646,0.0037,0.088,0.0,0.1003,0.002,0.1812,0.0061,7
success_only_policy,table_clearing,irreversible_change,nominal,0.4762,0.036,0.1387,0.0027,0.0857,0.0031,0.2039,0.0086,0.0465,0.0026,0.0599,0.0,0.0874,0.0048,0.2124,0.0029,7
success_only_policy,table_clearing,irreversible_change,seen_shift,0.4949,0.0309,0.1634,0.0042,0.0936,0.0031,0.1764,0.0064,0.0528,0.0031,0.0704,0.0,0.1002,0.0033,0.1988,0.0055,7
success_only_policy,table_clearing,irreversible_change,unseen_object,0.4728,0.0337,0.2023,0.0021,0.101,0.0043,0.1798,0.0108,0.0528,0.0013,0.0756,0.0,0.1142,0.002,0.1942,0.0033,7
