method,task,regime,split,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
success_only_policy,table_clearing,irreversible_change,unseen_side_effect,0.4371,0.0488,0.1871,0.0036,0.0991,0.0012,0.156,0.0083,0.0586,0.0038,0.0801,0.0,0.1217,0.0027,0.1921,0.0058,7
success_only_policy,table_clearing,irreversible_change,combined_stress,0.3861,0.0183,0.2198,0.0026,0.1113,0.0027,0.1503,0.0035,0.0612,0.0034,0.0883,0.0,0.1348,0.0031,0.1829,0.0065,7
success_only_policy,table_clearing,combined_side_effect_stress,nominal,0.5085,0.0443,0.1767,0.0025,0.0959,0.0037,0.1946,0.0048,0.044,0.0045,0.0611,0.0,0.1002,0.0019,0.2173,0.0021,7
success_only_policy,table_clearing,combined_side_effect_stress,seen_shift,0.4337,0.0625,0.2156,0.0037,0.1069,0.0025,0.1788,0.0042,0.0515,0.0018,0.0719,0.0,0.1176,0.0048,0.203,0.0048,7
success_only_policy,table_clearing,combined_side_effect_stress,unseen_object,0.4184,0.0379,0.2709,0.0022,0.1191,0.0028,0.1734,0.0084,0.056,0.0026,0.0773,0.0,0.1291,0.0019,0.1993,0.0032,7
success_only_policy,table_clearing,combined_side_effect_stress,unseen_side_effect,0.4048,0.0488,0.2497,0.0041,0.1192,0.0022,0.1568,0.0064,0.0566,0.0023,0.0819,0.0,0.1445,0.0026,0.1963,0.0043,7
success_only_policy,table_clearing,combined_side_effect_stress,combined_stress,0.3588,0.0579,0.2954,0.0051,0.1316,0.0032,0.1597,0.008,0.0612,0.0029,0.0903,0.0,0.1593,0.0035,0.1853,0.0064,7
success_only_policy,drawer_retrieval,nominal,nominal,0.5476,0.0496,0.0551,0.0034,0.0607,0.003,0.1997,0.0108,0.0436,0.0035,0.053,0.0,0.0319,0.0022,0.2127,0.0068,7
success_only_policy,drawer_retrieval,nominal,seen_shift,0.5918,0.049,0.055,0.0031,0.0615,0.0029,0.1798,0.0029,0.0529,0.0015,0.0617,0.0,0.032,0.0013,0.2013,0.0054,7
success_only_policy,drawer_retrieval,nominal,unseen_object,0.5017,0.0406,0.0632,0.0062,0.063,0.0018,0.177,0.007,0.054,0.0019,0.066,0.0,0.036,0.0043,0.204,0.0037,7
success_only_policy,drawer_retrieval,nominal,unseen_side_effect,0.5289,0.0321,0.061,0.0043,0.0629,0.0037,0.1561,0.0057,0.0577,0.0022,0.0698,0.0,0.0359,0.0019,0.1949,0.0051,7
success_only_policy,drawer_retrieval,nominal,combined_stress,0.4779,0.0643,0.0627,0.0037,0.064,0.0029,0.1585,0.0109,0.0583,0.0025,0.0766,0.0,0.0371,0.0032,0.1842,0.0043,7
success_only_policy,drawer_retrieval,force_damage,nominal,0.5425,0.0377,0.1035,0.0041,0.0781,0.0024,0.1984,0.0068,0.0473,0.0039,0.0593,0.0,0.0871,0.0036,0.2124,0.0038,7
success_only_policy,drawer_retrieval,force_damage,seen_shift,0.4915,0.0633,0.1191,0.004,0.0826,0.003,0.1855,0.0079,0.0535,0.0038,0.0696,0.0,0.104,0.004,0.2038,0.0075,7
success_only_policy,drawer_retrieval,force_damage,unseen_object,0.4405,0.0544,0.1351,0.0048,0.0892,0.0048,0.1732,0.0073,0.0543,0.003,0.0748,0.0,0.1103,0.0048,0.1935,0.0082,7
success_only_policy,drawer_retrieval,force_damage,unseen_side_effect,0.4184,0.0332,0.1487,0.0022,0.0957,0.0024,0.1539,0.0037,0.0562,0.0045,0.0792,0.0,0.133,0.0034,0.1991,0.005,7
success_only_policy,drawer_retrieval,force_damage,combined_stress,0.3793,0.052,0.1599,0.0048,0.0967,0.0021,0.1462,0.0076,0.062,0.0032,0.0873,0.0,0.1417,0.0044,0.186,0.0078,7
success_only_policy,drawer_retrieval,object_displacement,nominal,0.5561,0.0325,0.1034,0.0027,0.0761,0.0039,0.198,0.0054,0.0462,0.0024,0.0589,0.0,0.0582,0.0037,0.2159,0.0064,7
success_only_policy,drawer_retrieval,object_displacement,seen_shift,0.5136,0.0433,0.1194,0.0027,0.079,0.0025,0.1783,0.0077,0.0523,0.0032,0.0691,0.0,0.0673,0.0029,0.203,0.0051,7
success_only_policy,drawer_retrieval,object_displacement,unseen_object,0.4915,0.0543,0.1449,0.0043,0.0851,0.0032,0.1767,0.0059,0.055,0.001,0.0742,0.0,0.0718,0.0032,0.196,0.0078,7
success_only_policy,drawer_retrieval,object_displacement,unseen_side_effect,0.4677,0.0543,0.1365,0.0055,0.0878,0.0031,0.1511,0.009,0.0563,0.0044,0.0786,0.0,0.0783,0.0026,0.1905,0.0078,7
success_only_policy,drawer_retrieval,object_displacement,combined_stress,0.4235,0.0309,0.1538,0.003,0.0909,0.0017,0.1507,0.0076,0.0618,0.0029,0.0867,0.0,0.0808,0.0025,0.1765,0.0063,7
success_only_policy,drawer_retrieval,clutter_accumulation,nominal,0.517,0.0381,0.1016,0.0021,0.0784,0.0013,0.1978,0.0079,0.0482,0.0025,0.0595,0.0,0.0589,0.0024,0.2109,0.0059,7
success_only_policy,drawer_retrieval,clutter_accumulation,seen_shift,0.4949,0.0432,0.1194,0.0032,0.0813,0.002,0.1751,0.0065,0.0518,0.0029,0.0699,0.0,0.0676,0.0031,0.2033,0.0057,7
success_only_policy,drawer_retrieval,clutter_accumulation,unseen_object,0.432,0.038,0.1438,0.0031,0.0894,0.003,0.1828,0.0079,0.0539,0.0042,0.0751,0.0,0.0698,0.0038,0.2028,0.0055,7
success_only_policy,drawer_retrieval,clutter_accumulation,unseen_side_effect,0.4116,0.041,0.1376,0.0048,0.0849,0.0022,0.1529,0.0077,0.0591,0.0032,0.0795,0.0,0.078,0.0027,0.1918,0.0087,7
success_only_policy,drawer_retrieval,clutter_accumulation,combined_stress,0.4643,0.0318,0.1579,0.0029,0.0925,0.0018,0.1548,0.0054,0.0614,0.0027,0.0877,0.0,0.0823,0.0031,0.1859,0.0038,7
success_only_policy,drawer_retrieval,unstable_placement,nominal,0.5306,0.019,0.1099,0.0035,0.0809,0.0021,0.1939,0.0045,0.048,0.0025,0.0597,0.0,0.0736,0.0029,0.2144,0.0059,7
success_only_policy,drawer_retrieval,unstable_placement,seen_shift,0.4371,0.0237,0.1305,0.0067,0.0871,0.0046,0.1865,0.0065,0.0528,0.0036,0.0701,0.0,0.0858,0.0038,0.2062,0.0064,7
success_only_policy,drawer_retrieval,unstable_placement,unseen_object,0.4745,0.0236,0.1523,0.0064,0.0911,0.0022,0.1762,0.0046,0.0539,0.0033,0.0753,0.0,0.0916,0.0028,0.2018,0.0069,7
success_only_policy,drawer_retrieval,unstable_placement,unseen_side_effect,0.4422,0.0476,0.1539,0.0042,0.0947,0.0038,0.1524,0.0079,0.0559,0.0023,0.0798,0.0,0.1033,0.0022,0.1916,0.0063,7
success_only_policy,drawer_retrieval,unstable_placement,combined_stress,0.4031,0.0552,0.1769,0.0031,0.0986,0.0026,0.1509,0.0063,0.0615,0.0015,0.088,0.0,0.1112,0.0014,0.179,0.0043,7
success_only_policy,drawer_retrieval,irreversible_change,nominal,0.5136,0.0262,0.1213,0.0042,0.0828,0.0034,0.1996,0.0045,0.0469,0.0036,0.0599,0.0,0.09,0.0042,0.211,0.0038,7
success_only_policy,drawer_retrieval,irreversible_change,seen_shift,0.4881,0.0222,0.1406,0.004,0.0931,0.003,0.1796,0.0063,0.0538,0.0016,0.0704,0.0,0.1107,0.0029,0.2025,0.0079,7
success_only_policy,drawer_retrieval,irreversible_change,unseen_object,0.4643,0.0222,0.1644,0.0033,0.0976,0.0038,0.1847,0.0119,0.0538,0.0011,0.0756,0.0,0.1157,0.0037,0.202,0.0039,7
success_only_policy,drawer_retrieval,irreversible_change,unseen_side_effect,0.4031,0.0376,0.1643,0.0023,0.1029,0.002,0.1545,0.0121,0.0577,0.0016,0.0801,0.0,0.1321,0.0027,0.1967,0.0056,7
success_only_policy,drawer_retrieval,irreversible_change,combined_stress,0.3912,0.0484,0.1834,0.0025,0.106,0.0024,0.1546,0.0052,0.0604,0.002,0.0883,0.0,0.1398,0.0024,0.1841,0.004,7
success_only_policy,drawer_retrieval,combined_side_effect_stress,nominal,0.5017,0.0513,0.1518,0.0048,0.0966,0.0021,0.1931,0.0062,0.0463,0.0018,0.0611,0.0,0.1082,0.0036,0.2106,0.0061,7
success_only_policy,drawer_retrieval,combined_side_effect_stress,seen_shift,0.4609,0.0309,0.1843,0.0047,0.1073,0.0019,0.1833,0.0098,0.0513,0.004,0.0719,0.0,0.1282,0.0033,0.2036,0.0041,7
success_only_policy,drawer_retrieval,combined_side_effect_stress,unseen_object,0.3844,0.0282,0.2161,0.0046,0.1129,0.004,0.1873,0.0076,0.051,0.0038,0.0773,0.0,0.1397,0.0024,0.2018,0.0045,7
success_only_policy,drawer_retrieval,combined_side_effect_stress,unseen_side_effect,0.3963,0.0477,0.2213,0.0031,0.1198,0.0021,0.1473,0.0033,0.058,0.0025,0.0819,0.0,0.1611,0.0028,0.1973,0.0067,7
success_only_policy,drawer_retrieval,combined_side_effect_stress,combined_stress,0.3639,0.0349,0.249,0.0029,0.1273,0.0038,0.1506,0.0066,0.0624,0.0016,0.0903,0.0,0.1695,0.0026,0.1815,0.0069,7
success_only_policy,cable_routing,nominal,nominal,0.568,0.0309,0.0563,0.007,0.0637,0.0036,0.2022,0.0048,0.0441,0.0026,0.053,0.0,0.0321,0.0027,0.2197,0.0041,7
success_only_policy,cable_routing,nominal,seen_shift,0.5493,0.0386,0.0628,0.0049,0.0632,0.0036,0.1806,0.0056,0.0516,0.003,0.0617,0.0,0.0328,0.0022,0.2046,0.0057,7
success_only_policy,cable_routing,nominal,unseen_object,0.5051,0.0429,0.0698,0.0039,0.0648,0.0014,0.1717,0.0108,0.0541,0.0027,0.066,0.0,0.0325,0.0042,0.1927,0.0043,7
success_only_policy,cable_routing,nominal,unseen_side_effect,0.4983,0.0448,0.0655,0.0034,0.0663,0.0027,0.1599,0.0076,0.0568,0.003,0.0698,0.0,0.0357,0.0031,0.1889,0.0031,7
success_only_policy,cable_routing,nominal,combined_stress,0.483,0.0443,0.0707,0.002,0.0676,0.0024,0.1475,0.0048,0.0617,0.001,0.0766,0.0,0.0374,0.0039,0.1796,0.003,7
success_only_policy,cable_routing,force_damage,nominal,0.5391,0.0182,0.1064,0.0043,0.0784,0.0016,0.1948,0.0073,0.048,0.0023,0.0593,0.0,0.079,0.0033,0.2118,0.0051,7
success_only_policy,cable_routing,force_damage,seen_shift,0.4575,0.0313,0.1231,0.0057,0.0843,0.0029,0.1882,0.0054,0.0535,0.0035,0.0696,0.0,0.0972,0.0023,0.2018,0.0034,7
success_only_policy,cable_routing,force_damage,unseen_object,0.4881,0.0464,0.1373,0.0056,0.0856,0.0032,0.1774,0.0051,0.0557,0.0016,0.0748,0.0,0.1038,0.0021,0.1999,0.0048,7
success_only_policy,cable_routing,force_damage,unseen_side_effect,0.4167,0.0464,0.1468,0.0027,0.0909,0.002,0.1478,0.0045,0.0589,0.0032,0.0792,0.0,0.1225,0.0028,0.1957,0.0051,7
success_only_policy,cable_routing,force_damage,combined_stress,0.3759,0.0196,0.1609,0.0057,0.0996,0.0064,0.1551,0.0054,0.0619,0.0047,0.0873,0.0,0.1279,0.0031,0.1805,0.005,7
success_only_policy,cable_routing,object_displacement,nominal,0.5306,0.0511,0.1216,0.0047,0.0799,0.0033,0.1998,0.0084,0.0468,0.0031,0.0589,0.0,0.0588,0.003,0.2134,0.0038,7
success_only_policy,cable_routing,object_displacement,seen_shift,0.5,0.036,0.1425,0.0029,0.0823,0.0031,0.1816,0.0071,0.0529,0.0036,0.0691,0.0,0.0624,0.0034,0.2055,0.007,7
success_only_policy,cable_routing,object_displacement,unseen_object,0.483,0.0254,0.1757,0.0039,0.0928,0.0039,0.1783,0.0081,0.0553,0.0024,0.0742,0.0,0.0714,0.0038,0.1973,0.0065,7
success_only_policy,cable_routing,object_displacement,unseen_side_effect,0.4354,0.0287,0.1616,0.0041,0.0912,0.0027,0.1577,0.0079,0.0591,0.0023,0.0786,0.0,0.0769,0.0025,0.1903,0.0016,7
success_only_policy,cable_routing,object_displacement,combined_stress,0.4252,0.0296,0.1893,0.0031,0.0978,0.0024,0.1585,0.006,0.0611,0.0029,0.0867,0.0,0.0817,0.0035,0.1789,0.0029,7
success_only_policy,cable_routing,clutter_accumulation,nominal,0.5051,0.0321,0.1267,0.002,0.08,0.0032,0.1989,0.0108,0.0468,0.0045,0.0595,0.0,0.0558,0.0027,0.2141,0.0067,7
success_only_policy,cable_routing,clutter_accumulation,seen_shift,0.4711,0.0321,0.1517,0.003,0.089,0.0015,0.19,0.0095,0.0487,0.0021,0.0699,0.0,0.0674,0.0025,0.1959,0.0053,7
success_only_policy,cable_routing,clutter_accumulation,unseen_object,0.449,0.03,0.185,0.0016,0.0937,0.0016,0.1787,0.0055,0.0545,0.0029,0.0751,0.0,0.071,0.003,0.199,0.003,7
success_only_policy,cable_routing,clutter_accumulation,unseen_side_effect,0.449,0.0208,0.1671,0.0029,0.092,0.0017,0.1553,0.005,0.0571,0.0031,0.0795,0.0,0.0776,0.0022,0.1918,0.0048,7
success_only_policy,cable_routing,clutter_accumulation,combined_stress,0.3776,0.041,0.2003,0.0028,0.1016,0.0026,0.1502,0.0067,0.0609,0.002,0.0877,0.0,0.0807,0.0043,0.1778,0.0063,7
success_only_policy,cable_routing,unstable_placement,nominal,0.4643,0.0318,0.1256,0.0028,0.0852,0.0034,0.1999,0.0048,0.0457,0.0027,0.0597,0.0,0.0728,0.0023,0.2133,0.0043,7
success_only_policy,cable_routing,unstable_placement,seen_shift,0.4762,0.033,0.1535,0.0024,0.0921,0.0012,0.1865,0.0069,0.0513,0.0025,0.0701,0.0,0.0804,0.0035,0.1996,0.0024,7
success_only_policy,cable_routing,unstable_placement,unseen_object,0.4473,0.0536,0.1742,0.0039,0.0953,0.002,0.1741,0.0054,0.0545,0.0019,0.0753,0.0,0.0896,0.0023,0.1969,0.0052,7
success_only_policy,cable_routing,unstable_placement,unseen_side_effect,0.4439,0.0449,0.1754,0.0027,0.0972,0.0035,0.1591,0.0051,0.0587,0.003,0.0798,0.0,0.0997,0.0035,0.1873,0.006,7
success_only_policy,cable_routing,unstable_placement,combined_stress,0.3963,0.0536,0.1944,0.002,0.1063,0.0029,0.1554,0.0062,0.0603,0.0026,0.088,0.0,0.1042,0.0044,0.1815,0.006,7
success_only_policy,cable_routing,irreversible_change,nominal,0.4932,0.0391,0.1379,0.0034,0.0872,0.0023,0.1991,0.0081,0.0453,0.0035,0.0599,0.0,0.0869,0.0021,0.2144,0.0059,7
success_only_policy,cable_routing,irreversible_change,seen_shift,0.4422,0.0281,0.1636,0.0049,0.0974,0.0016,0.181,0.0059,0.0524,0.0016,0.0704,0.0,0.1025,0.0036,0.2015,0.0085,7
success_only_policy,cable_routing,irreversible_change,unseen_object,0.4252,0.0471,0.1944,0.0047,0.1042,0.0027,0.1773,0.0065,0.0537,0.0019,0.0756,0.0,0.1118,0.0027,0.1941,0.0079,7
success_only_policy,cable_routing,irreversible_change,unseen_side_effect,0.4354,0.0329,0.1878,0.0032,0.1041,0.0031,0.1539,0.0069,0.0581,0.0034,0.0801,0.0,0.1253,0.0016,0.1983,0.0069,7
success_only_policy,cable_routing,irreversible_change,combined_stress,0.4031,0.0409,0.2161,0.0038,0.1156,0.0045,0.1551,0.0053,0.0635,0.0013,0.0883,0.0,0.1371,0.0018,0.181,0.005,7
success_only_policy,cable_routing,combined_side_effect_stress,nominal,0.5,0.065,0.1787,0.0037,0.1013,0.0025,0.2021,0.0153,0.0468,0.0021,0.0611,0.0,0.1019,0.0016,0.2122,0.0018,7
success_only_policy,cable_routing,combined_side_effect_stress,seen_shift,0.4269,0.0528,0.2118,0.0037,0.1118,0.0021,0.1841,0.0058,0.0525,0.0026,0.0719,0.0,0.1238,0.0014,0.2022,0.007,7
success_only_policy,cable_routing,combined_side_effect_stress,unseen_object,0.4031,0.0487,0.2607,0.0036,0.1226,0.0032,0.1857,0.0055,0.0553,0.002,0.0773,0.0,0.1328,0.0048,0.1993,0.0063,7
success_only_policy,cable_routing,combined_side_effect_stress,unseen_side_effect,0.3741,0.0321,0.2507,0.0037,0.1232,0.0006,0.1536,0.0125,0.0533,0.0026,0.0819,0.0,0.1518,0.003,0.1953,0.0074,7
success_only_policy,cable_routing,combined_side_effect_stress,combined_stress,0.3486,0.0208,0.2933,0.0027,0.1402,0.0014,0.1533,0.0064,0.0622,0.0029,0.0903,0.0,0.1636,0.0035,0.187,0.0059,7
success_only_policy,tool_handoff,nominal,nominal,0.5561,0.0425,0.0533,0.0049,0.0615,0.0022,0.2016,0.006,0.0443,0.0036,0.053,0.0,0.0334,0.0038,0.2144,0.0029,7
success_only_policy,tool_handoff,nominal,seen_shift,0.5323,0.0333,0.065,0.0049,0.0664,0.0019,0.1806,0.0062,0.0509,0.0028,0.0617,0.0,0.0356,0.0018,0.201,0.0075,7
success_only_policy,tool_handoff,nominal,unseen_object,0.5306,0.0345,0.0655,0.0027,0.0644,0.0044,0.1739,0.0077,0.0572,0.0023,0.066,0.0,0.0339,0.0037,0.1986,0.0037,7
success_only_policy,tool_handoff,nominal,unseen_side_effect,0.5187,0.0349,0.0669,0.0029,0.0689,0.0024,0.1583,0.0038,0.0562,0.002,0.0698,0.0,0.0411,0.0033,0.1976,0.01,7
success_only_policy,tool_handoff,nominal,combined_stress,0.4745,0.0343,0.0738,0.0041,0.0685,0.0025,0.1543,0.009,0.0614,0.0027,0.0766,0.0,0.0381,0.0012,0.1865,0.0038,7
success_only_policy,tool_handoff,force_damage,nominal,0.5,0.0349,0.1206,0.0035,0.0854,0.0038,0.1996,0.006,0.0458,0.0013,0.0593,0.0,0.0982,0.0036,0.2142,0.0068,7
success_only_policy,tool_handoff,force_damage,seen_shift,0.4252,0.0393,0.1388,0.0029,0.0934,0.0025,0.1877,0.0092,0.0514,0.0006,0.0696,0.0,0.1191,0.0022,0.2007,0.0047,7
success_only_policy,tool_handoff,force_damage,unseen_object,0.4082,0.0366,0.1561,0.0032,0.096,0.0021,0.1813,0.0069,0.0544,0.0022,0.0748,0.0,0.1267,0.0025,0.1994,0.0063,7
success_only_policy,tool_handoff,force_damage,unseen_side_effect,0.398,0.0426,0.1764,0.0027,0.106,0.0024,0.156,0.0075,0.0545,0.0027,0.0792,0.0,0.1524,0.0027,0.1948,0.0067,7
success_only_policy,tool_handoff,force_damage,combined_stress,0.369,0.0401,0.1875,0.0044,0.1103,0.0025,0.152,0.0094,0.0614,0.0037,0.0873,0.0,0.1591,0.0024,0.1837,0.0037,7
success_only_policy,tool_handoff,object_displacement,nominal,0.5374,0.0421,0.1114,0.0039,0.084,0.0029,0.2015,0.0086,0.0465,0.0042,0.0589,0.0,0.0615,0.0035,0.2141,0.0039,7
success_only_policy,tool_handoff,object_displacement,seen_shift,0.4779,0.0547,0.1319,0.0026,0.0843,0.0029,0.1806,0.0091,0.0519,0.0048,0.0691,0.0,0.0704,0.0026,0.1984,0.0042,7
success_only_policy,tool_handoff,object_displacement,unseen_object,0.4456,0.0606,0.1569,0.002,0.0924,0.0021,0.1782,0.0065,0.0551,0.0042,0.0742,0.0,0.074,0.0021,0.1977,0.0057,7
success_only_policy,tool_handoff,object_displacement,unseen_side_effect,0.466,0.0172,0.1529,0.0036,0.0951,0.0024,0.1524,0.0052,0.059,0.0033,0.0786,0.0,0.0843,0.0026,0.194,0.0093,7
success_only_policy,tool_handoff,object_displacement,combined_stress,0.3997,0.0387,0.1735,0.0044,0.1008,0.0025,0.1603,0.0064,0.0591,0.0029,0.0867,0.0,0.087,0.0023,0.1801,0.0039,7
success_only_policy,tool_handoff,clutter_accumulation,nominal,0.5323,0.0501,0.1187,0.004,0.0867,0.0035,0.2008,0.0047,0.0466,0.0028,0.0595,0.0,0.0628,0.0018,0.2192,0.0065,7
success_only_policy,tool_handoff,clutter_accumulation,seen_shift,0.4337,0.0407,0.1282,0.0026,0.0911,0.0027,0.1846,0.0059,0.0525,0.0034,0.0699,0.0,0.0688,0.0036,0.2084,0.0071,7
success_only_policy,tool_handoff,clutter_accumulation,unseen_object,0.4422,0.0542,0.1566,0.0045,0.0977,0.0025,0.1779,0.0067,0.0546,0.0028,0.0751,0.0,0.0777,0.0026,0.1975,0.0049,7
success_only_policy,tool_handoff,clutter_accumulation,unseen_side_effect,0.4082,0.0321,0.1542,0.0041,0.0986,0.0026,0.1548,0.0064,0.0566,0.0028,0.0795,0.0,0.0818,0.0027,0.1895,0.0051,7
success_only_policy,tool_handoff,clutter_accumulation,combined_stress,0.3929,0.0453,0.1755,0.0027,0.1098,0.004,0.1585,0.004,0.0624,0.0029,0.0877,0.0,0.0862,0.0044,0.1816,0.0067,7
success_only_policy,tool_handoff,unstable_placement,nominal,0.5255,0.0421,0.1314,0.0045,0.093,0.0037,0.1918,0.0049,0.0454,0.004,0.0597,0.0,0.0771,0.0034,0.21,0.0054,7
success_only_policy,tool_handoff,unstable_placement,seen_shift,0.4643,0.0297,0.1589,0.0033,0.0998,0.0028,0.1828,0.0075,0.0529,0.0027,0.0701,0.0,0.0909,0.0032,0.2045,0.0067,7
success_only_policy,tool_handoff,unstable_placement,unseen_object,0.4252,0.0237,0.1788,0.0048,0.1061,0.002,0.1747,0.0046,0.0538,0.0035,0.0753,0.0,0.0992,0.0037,0.1956,0.0067,7
