method,split,seed,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
success_only_policy,nominal,0,0.5061,0.0233,0.1216,0.012,0.0836,0.0041,0.1984,0.0038,0.047,0.0015,0.0588,0.0008,0.0735,0.0079,0.2129,0.0022,35,0.235
success_only_policy,nominal,1,0.5126,0.0206,0.1236,0.0123,0.0836,0.0044,0.1986,0.0039,0.0458,0.0012,0.0588,0.0008,0.0725,0.0082,0.2129,0.0021,35,0.2218
success_only_policy,nominal,2,0.5092,0.0186,0.122,0.0121,0.0827,0.0044,0.2001,0.0039,0.0461,0.0014,0.0588,0.0008,0.0718,0.0078,0.2132,0.0025,35,0.2486
success_only_policy,nominal,3,0.5279,0.0186,0.1235,0.0121,0.0838,0.0046,0.1947,0.0028,0.0471,0.0015,0.0588,0.0008,0.0741,0.0083,0.2151,0.0024,35,0.202
success_only_policy,nominal,4,0.5167,0.0201,0.1217,0.0124,0.0832,0.004,0.1963,0.0039,0.0467,0.0014,0.0588,0.0008,0.0738,0.0078,0.2124,0.0023,35,0.232
success_only_policy,nominal,5,0.5116,0.0177,0.1236,0.012,0.0832,0.0041,0.1957,0.0041,0.046,0.0014,0.0588,0.0008,0.0736,0.0083,0.215,0.0021,35,0.235
success_only_policy,nominal,6,0.534,0.0206,0.1219,0.0122,0.0832,0.0045,0.1974,0.0034,0.0453,0.0014,0.0588,0.0008,0.0728,0.008,0.2143,0.0025,35,0.2078
success_only_policy,seen_shift,0,0.4857,0.0201,0.1443,0.0153,0.0886,0.0053,0.1851,0.0026,0.0509,0.0013,0.069,0.001,0.0841,0.0101,0.2027,0.003,35,0.2442
success_only_policy,seen_shift,1,0.4752,0.0189,0.1457,0.0149,0.0913,0.0054,0.1826,0.0037,0.0518,0.0013,0.069,0.001,0.0848,0.0102,0.2038,0.0024,35,0.2364
success_only_policy,seen_shift,2,0.4857,0.0182,0.1448,0.015,0.0908,0.005,0.1818,0.0029,0.0516,0.0015,0.069,0.001,0.085,0.0098,0.2007,0.0025,35,0.2248
