baseline,mean_deploy_utility_diff,ci95_deploy_utility_diff,mean_success_diff,ci95_success_diff,wins,total,decision,budget
conservative_safety_filter,0.337576,0.016987,0.109922,0.002418,10,10,win,0.07
constraint_aware_planner,0.34044,0.016994,0.121159,0.004674,10,10,win,0.07
failure_prediction_shield,0.342155,0.016995,0.12306,0.005366,10,10,win,0.07
generic_pairwise_preference_model,0.350364,0.017011,0.164857,0.005158,10,10,win,0.07
human_query_max_uncertainty,0.331966,0.016975,0.102526,0.003894,10,10,win,0.07
inverse_reward_design_baseline,0.332401,0.016999,0.106172,0.006186,10,10,win,0.07
oracle_human_side_effect_judge,-0.345656,0.018501,-0.077174,0.004919,0,10,not_clear,0.07
physical_affordance_penalty,0.331942,0.016971,0.08543,0.005259,10,10,win,0.07
preference_transformer_no_side_effects,0.331504,0.017,0.106224,0.003613,10,10,win,0.07
proposed_side_effect_preference_model_v4,0.284527,0.01917,0.038789,0.003374,10,10,win,0.07
reward_model_rlhf_surrogate,0.346638,0.016986,0.142096,0.006207,10,10,win,0.07
risk_calibrated_reward_model,0.313824,0.01881,0.069115,0.004564,10,10,win,0.07
side_effect_classifier_baseline,0.3347,0.016973,0.099219,0.004971,10,10,win,0.07
success_only_policy,0.36153,0.016947,0.223164,0.005296,10,10,win,0.07
uncertainty_query_preference_learner,0.341959,0.017003,0.132357,0.005814,10,10,win,0.07
conservative_safety_filter,0.501957,0.014285,0.109922,0.002418,10,10,win,0.08
constraint_aware_planner,0.50536,0.014094,0.121159,0.004674,10,10,win,0.08
failure_prediction_shield,0.507075,0.01411,0.12306,0.005366,10,10,win,0.08
generic_pairwise_preference_model,0.515285,0.014134,0.164857,0.005158,10,10,win,0.08
human_query_max_uncertainty,0.496295,0.014494,0.102526,0.003894,10,10,win,0.08
inverse_reward_design_baseline,0.497322,0.014119,0.106172,0.006186,10,10,win,0.08
oracle_human_side_effect_judge,-0.180736,0.015641,-0.077174,0.004919,0,10,not_clear,0.08
physical_affordance_penalty,0.496863,0.014141,0.08543,0.005259,10,10,win,0.08
preference_transformer_no_side_effects,0.496425,0.014127,0.106224,0.003613,10,10,win,0.08
proposed_side_effect_preference_model_v4,0.419445,0.014626,0.038789,0.003374,10,10,win,0.08
reward_model_rlhf_surrogate,0.511558,0.014133,0.142096,0.006207,10,10,win,0.08
risk_calibrated_reward_model,0.451511,0.014098,0.069115,0.004564,10,10,win,0.08
side_effect_classifier_baseline,0.499621,0.014129,0.099219,0.004971,10,10,win,0.08
success_only_policy,0.526451,0.014111,0.223164,0.005296,10,10,win,0.08
uncertainty_query_preference_learner,0.50688,0.014066,0.132357,0.005814,10,10,win,0.08
conservative_safety_filter,0.563442,0.004745,0.109922,0.002418,10,10,win,0.09
constraint_aware_planner,0.572681,0.005231,0.121159,0.004674,10,10,win,0.09
failure_prediction_shield,0.574921,0.004963,0.12306,0.005366,10,10,win,0.09
generic_pairwise_preference_model,0.58313,0.004959,0.164857,0.005158,10,10,win,0.09
human_query_max_uncertainty,0.545788,0.007175,0.102526,0.003894,10,10,win,0.09
inverse_reward_design_baseline,0.565167,0.004972,0.106172,0.006186,10,10,win,0.09
oracle_human_side_effect_judge,-0.11289,0.005611,-0.077174,0.004919,0,10,not_clear,0.09
physical_affordance_penalty,0.552211,0.006193,0.08543,0.005259,10,10,win,0.09
preference_transformer_no_side_effects,0.56427,0.004951,0.106224,0.003613,10,10,win,0.09
proposed_side_effect_preference_model_v4,0.461594,0.010138,0.038789,0.003374,10,10,win,0.09
reward_model_rlhf_surrogate,0.579404,0.004952,0.142096,0.006207,10,10,win,0.09
risk_calibrated_reward_model,0.495004,0.006723,0.069115,0.004564,10,10,win,0.09
side_effect_classifier_baseline,0.562152,0.005763,0.099219,0.004971,10,10,win,0.09
success_only_policy,0.594296,0.00495,0.223164,0.005296,10,10,win,0.09
uncertainty_query_preference_learner,0.574725,0.004983,0.132357,0.005814,10,10,win,0.09
conservative_safety_filter,0.560661,0.003191,0.109922,0.002418,10,10,win,0.1
constraint_aware_planner,0.584002,0.004893,0.121159,0.004674,10,10,win,0.1
failure_prediction_shield,0.588738,0.004811,0.12306,0.005366,10,10,win,0.1
generic_pairwise_preference_model,0.599334,0.003671,0.164857,0.005158,10,10,win,0.1
human_query_max_uncertainty,0.536843,0.006786,0.102526,0.003894,10,10,win,0.1
inverse_reward_design_baseline,0.570134,0.004189,0.106172,0.006186,10,10,win,0.1
oracle_human_side_effect_judge,-0.096686,0.003721,-0.077174,0.004919,0,10,not_clear,0.1
physical_affordance_penalty,0.534699,0.0054,0.08543,0.005259,10,10,win,0.1
preference_transformer_no_side_effects,0.577639,0.003659,0.106224,0.003613,10,10,win,0.1
proposed_side_effect_preference_model_v4,0.392373,0.015188,0.038789,0.003374,10,10,win,0.1
reward_model_rlhf_surrogate,0.595608,0.003659,0.142096,0.006207,10,10,win,0.1
risk_calibrated_reward_model,0.50577,0.004012,0.069115,0.004564,10,10,win,0.1
side_effect_classifier_baseline,0.556364,0.006765,0.099219,0.004971,10,10,win,0.1
success_only_policy,0.6105,0.003641,0.223164,0.005296,10,10,win,0.1
uncertainty_query_preference_learner,0.589723,0.004344,0.132357,0.005814,10,10,win,0.1
