method,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
success_only_policy,0,200,0.406042,0.007467,0.406922,0.26931,0.007573,0.117511,0.00159,0.192148,0.004212,0.143306,0.00407,0.086089,0.078462,0.132399,0.232706,0.179885,0.168685,0.51726
success_only_policy,1,200,0.412135,0.007141,0.407116,0.274007,0.007058,0.117448,0.001725,0.192481,0.00417,0.14365,0.004055,0.0862,0.078462,0.13316,0.23361,0.179728,0.168429,0.516979
success_only_policy,2,200,0.408854,0.007097,0.406176,0.271734,0.007123,0.117968,0.00174,0.192111,0.004203,0.143471,0.00404,0.085625,0.078462,0.13262,0.233316,0.17985,0.168403,0.518068
success_only_policy,3,200,0.403385,0.007639,0.407556,0.267485,0.00774,0.116844,0.001768,0.19174,0.004117,0.143069,0.004084,0.085981,0.078462,0.132542,0.234273,0.179341,0.168621,0.523942
success_only_policy,4,200,0.405833,0.007445,0.407501,0.269462,0.007326,0.117853,0.001685,0.192135,0.004145,0.142995,0.004031,0.085813,0.078462,0.132899,0.233849,0.179512,0.168279,0.517943
success_only_policy,5,200,0.409427,0.007584,0.407344,0.271608,0.007253,0.116742,0.001705,0.192772,0.004078,0.143809,0.004047,0.085915,0.078462,0.132338,0.232694,0.179646,0.168565,0.525819
success_only_policy,6,200,0.407917,0.007419,0.407668,0.270371,0.007159,0.116355,0.001774,0.192255,0.00407,0.143503,0.004024,0.086211,0.078462,0.13318,0.233131,0.180084,0.169173,0.518431
success_only_policy,7,200,0.41,0.008374,0.407465,0.272322,0.007906,0.115823,0.001709,0.1922,0.00413,0.142975,0.0041,0.08553,0.078462,0.132927,0.233394,0.179558,0.168777,0.522224
success_only_policy,8,200,0.405156,0.007933,0.407246,0.268596,0.007715,0.116685,0.001742,0.1922,0.004127,0.142827,0.004091,0.086543,0.078462,0.133035,0.23404,0.179525,0.168858,0.524514
success_only_policy,9,200,0.414479,0.00839,0.407773,0.276196,0.008134,0.117377,0.001824,0.19196,0.004195,0.143318,0.004001,0.085999,0.078462,0.132808,0.233655,0.179566,0.168561,0.516173
generic_pairwise_preference_model,0,200,0.471771,0.007217,0.470415,0.371446,0.006932,0.236185,0.001696,0.154376,0.003215,0.122313,0.003416,0.09974,0.193436,0.117541,0.355557,0.151475,0.146306,0.415124
generic_pairwise_preference_model,1,200,0.469635,0.007914,0.469777,0.3697,0.007431,0.235938,0.001771,0.154544,0.003261,0.12197,0.00341,0.09955,0.193436,0.117534,0.355899,0.151688,0.147036,0.421285
generic_pairwise_preference_model,2,200,0.470312,0.007898,0.47089,0.370918,0.007304,0.237339,0.001739,0.153772,0.003283,0.121539,0.00337,0.099479,0.193436,0.117376,0.356021,0.151926,0.146632,0.418883
generic_pairwise_preference_model,3,200,0.467344,0.007874,0.470796,0.367658,0.007274,0.235412,0.001701,0.154735,0.003188,0.122189,0.003449,0.099795,0.193436,0.117418,0.355747,0.15123,0.147123,0.42377
generic_pairwise_preference_model,4,200,0.469219,0.007475,0.470213,0.369341,0.006838,0.235317,0.001737,0.154451,0.003225,0.12153,0.003408,0.099833,0.193436,0.117031,0.355103,0.151602,0.147141,0.418064
generic_pairwise_preference_model,5,200,0.469062,0.007878,0.46919,0.369534,0.007386,0.236863,0.001671,0.154497,0.003208,0.121318,0.00334,0.099755,0.193436,0.11761,0.354874,0.151308,0.14649,0.427893
generic_pairwise_preference_model,6,200,0.470104,0.007049,0.469673,0.370381,0.006596,0.237148,0.001724,0.15447,0.003273,0.121732,0.003405,0.099828,0.193436,0.118172,0.356316,0.150893,0.147101,0.418421
generic_pairwise_preference_model,7,200,0.471146,0.007643,0.470084,0.370852,0.007253,0.235054,0.001639,0.15387,0.003231,0.122133,0.003362,0.09945,0.193436,0.117572,0.355357,0.15169,0.147027,0.423695
generic_pairwise_preference_model,8,200,0.468594,0.007291,0.47054,0.368936,0.006891,0.236357,0.00159,0.154496,0.00324,0.122003,0.003312,0.099761,0.193436,0.117411,0.355422,0.151398,0.146823,0.424175
generic_pairwise_preference_model,9,200,0.466094,0.007296,0.468551,0.366761,0.006927,0.235845,0.001625,0.154386,0.003263,0.122411,0.003325,0.099701,0.193436,0.117571,0.35515,0.151021,0.146732,0.425608
reward_model_rlhf_surrogate,0,200,0.490833,0.007684,0.491058,0.400379,0.007024,0.263697,0.001592,0.145771,0.003038,0.116694,0.003228,0.101086,0.203654,0.113606,0.387399,0.145003,0.141361,0.386191
