method,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
success_only_policy,200.0,0.408323,0.007649,0.407277,0.271109,0.007499,0.117061,0.001726,0.1922,0.004145,0.143292,0.004054,0.085991,0.078462,0.132791,0.233467,0.17967,0.168635,0.520135
generic_pairwise_preference_model,200.0,0.469328,0.007553,0.470013,0.369553,0.007083,0.236146,0.001689,0.15436,0.003239,0.121914,0.00338,0.099689,0.193436,0.117524,0.355545,0.151423,0.146841,0.421692
reward_model_rlhf_surrogate,200.0,0.491198,0.007641,0.491523,0.400723,0.007063,0.262797,0.001658,0.145407,0.00304,0.116572,0.003232,0.101026,0.203654,0.113434,0.387576,0.145061,0.14109,0.390521
uncertainty_query_preference_learner,200.0,0.503615,0.007647,0.503552,0.439108,0.006878,0.346852,0.001626,0.123227,0.002609,0.102916,0.002739,0.097785,0.345687,0.103759,0.467854,0.127731,0.123946,0.352136
constraint_aware_planner,200.0,0.513818,0.007503,0.514703,0.463801,0.006525,0.353469,0.001677,0.106107,0.002351,0.080131,0.002061,0.11467,0.270419,0.099965,0.457391,0.122711,0.128687,0.327444
failure_prediction_shield,200.0,0.511776,0.007447,0.510744,0.45348,0.006626,0.339597,0.001653,0.115478,0.002595,0.089304,0.002291,0.109052,0.249922,0.103183,0.437366,0.122273,0.13186,0.337765
side_effect_classifier_baseline,200.0,0.539927,0.00744,0.538385,0.50738,0.006496,0.410939,0.001664,0.095341,0.002058,0.082891,0.002102,0.107087,0.260356,0.094679,0.497818,0.105252,0.122502,0.283865
inverse_reward_design_baseline,200.0,0.530047,0.007464,0.531433,0.49251,0.006556,0.382493,0.001634,0.104544,0.002198,0.08922,0.002317,0.105071,0.237471,0.096141,0.508546,0.115729,0.117395,0.298735
conservative_safety_filter,200.0,0.527224,0.007404,0.526458,0.49951,0.00634,0.409441,0.001683,0.085976,0.001937,0.061147,0.001478,0.133227,0.263647,0.092473,0.47799,0.107863,0.130165,0.291734
preference_transformer_no_side_effects,200.0,0.530333,0.00732,0.530547,0.483881,0.006551,0.356487,0.001649,0.112403,0.002388,0.098374,0.002626,0.092505,0.250238,0.098354,0.519181,0.123917,0.113712,0.307364
human_query_max_uncertainty,200.0,0.536443,0.007542,0.536311,0.509007,0.00657,0.447889,0.00158,0.09531,0.002031,0.086117,0.00219,0.092505,0.433616,0.090414,0.572607,0.106645,0.099116,0.282237
physical_affordance_penalty,200.0,0.551203,0.007261,0.551026,0.527525,0.006222,0.418379,0.001659,0.086668,0.001957,0.06987,0.001697,0.114391,0.239082,0.091507,0.513241,0.106003,0.11937,0.263719
risk_calibrated_reward_model,200.0,0.569281,0.007358,0.568483,0.570146,0.006254,0.460335,0.00162,0.074932,0.001668,0.067882,0.001655,0.092246,0.237003,0.084453,0.594911,0.094103,0.10083,0.221099
proposed_side_effect_preference_model_v4,200.0,0.602938,0.007195,0.602182,0.624426,0.006052,0.528724,0.001621,0.053817,0.001239,0.058064,0.001386,0.092643,0.22005,0.078002,0.61563,0.07919,0.10688,0.166818
side_effect_causal_preference_model_v5,200.0,0.63901,0.006828,0.638627,0.696291,0.005627,0.59627,0.001571,0.036466,0.000956,0.04497,0.00094,0.073211,0.205205,0.067216,0.714246,0.056596,0.077416,0.094953
oracle_human_side_effect_judge,200.0,0.716286,0.00661,0.716582,0.791245,0.005379,0.634599,0.001576,0.017505,0.000738,0.031089,0.000637,0.055739,0.191031,0.057583,0.7901,0.042667,0.060342,0.0
