method,split,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
success_only_policy,nominal,80.0,0.525638,0.012388,0.524504,0.455013,0.011927,0.16929,0.002128,0.110401,0.005757,0.07463,0.005127,0.047762,0.056705,0.08549,0.269141,0.066692,0.070777,0.398974
success_only_policy,seen_shift,80.0,0.490104,0.01305,0.489624,0.405102,0.013163,0.152729,0.00216,0.13197,0.007249,0.089004,0.006527,0.058006,0.064147,0.09563,0.260594,0.084525,0.092166,0.427685
success_only_policy,unseen_object,80.0,0.467878,0.012842,0.46748,0.370412,0.013781,0.144913,0.002271,0.15808,0.009422,0.095562,0.007106,0.064744,0.069108,0.103363,0.252681,0.095768,0.106536,0.449351
success_only_policy,unseen_side_effect,80.0,0.443398,0.013582,0.445933,0.337377,0.015317,0.121951,0.002178,0.156974,0.009007,0.117756,0.009464,0.069004,0.072828,0.108158,0.248772,0.107503,0.113457,0.465577
success_only_policy,human_preference_shift,80.0,0.439128,0.013219,0.439601,0.322204,0.014893,0.11796,0.002156,0.158652,0.009363,0.105317,0.008137,0.093487,0.074068,0.120563,0.246644,0.116346,0.196502,0.481791
success_only_policy,delayed_effects,80.0,0.437591,0.013665,0.435471,0.31868,0.015552,0.126192,0.002187,0.166451,0.009416,0.116734,0.009394,0.075633,0.075929,0.117702,0.244942,0.192675,0.130715,0.47849
success_only_policy,latent_damage_shift,80.0,0.42526,0.013874,0.425203,0.303227,0.016135,0.118955,0.002139,0.173521,0.009979,0.121617,0.009768,0.079973,0.077789,0.120201,0.242798,0.174962,0.142012,0.488851
success_only_policy,combined_stress,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.511284
generic_pairwise_preference_model,nominal,80.0,0.576068,0.011914,0.574403,0.529945,0.011004,0.285185,0.002114,0.088885,0.004758,0.065448,0.004272,0.066025,0.169394,0.079229,0.384487,0.061051,0.066635,0.324042
generic_pairwise_preference_model,seen_shift,80.0,0.544492,0.01228,0.542904,0.486923,0.011878,0.269696,0.002273,0.105621,0.005812,0.076988,0.005425,0.075325,0.177339,0.087354,0.377871,0.075167,0.084355,0.345865
generic_pairwise_preference_model,unseen_object,80.0,0.520521,0.012319,0.522797,0.453738,0.012255,0.262611,0.002315,0.126403,0.007498,0.082646,0.005891,0.081513,0.18266,0.093552,0.371445,0.084404,0.096002,0.366025
generic_pairwise_preference_model,unseen_side_effect,80.0,0.502539,0.012558,0.503502,0.427284,0.013261,0.239609,0.00222,0.126213,0.007249,0.100619,0.007838,0.084897,0.186524,0.097468,0.367471,0.093596,0.101614,0.37567
generic_pairwise_preference_model,human_preference_shift,80.0,0.497266,0.012516,0.497297,0.413699,0.013136,0.238306,0.002135,0.127227,0.007488,0.090608,0.006793,0.105512,0.189852,0.107558,0.366331,0.100476,0.169863,0.390296
generic_pairwise_preference_model,delayed_effects,80.0,0.491836,0.012446,0.49305,0.407599,0.013382,0.244429,0.002193,0.133651,0.007574,0.100174,0.007699,0.090861,0.190057,0.105395,0.365202,0.160887,0.11604,0.389571
generic_pairwise_preference_model,latent_damage_shift,80.0,0.483203,0.013055,0.484226,0.396188,0.014041,0.237432,0.00214,0.138599,0.008071,0.103579,0.008131,0.094681,0.192205,0.107163,0.36302,0.147114,0.125193,0.39589
generic_pairwise_preference_model,combined_stress,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.415443
reward_model_rlhf_surrogate,nominal,80.0,0.595677,0.011309,0.593156,0.555552,0.010315,0.311066,0.002145,0.083972,0.004434,0.063172,0.004066,0.068653,0.179382,0.07764,0.415269,0.059741,0.065597,0.298434
reward_model_rlhf_surrogate,seen_shift,80.0,0.560625,0.012179,0.562444,0.51077,0.011481,0.295892,0.002162,0.099609,0.005514,0.074165,0.005131,0.077316,0.187378,0.084735,0.408971,0.072788,0.081975,0.322017
reward_model_rlhf_surrogate,unseen_object,80.0,0.541953,0.011951,0.542778,0.482266,0.011732,0.288068,0.002168,0.119068,0.007049,0.079508,0.005546,0.083668,0.192735,0.091,0.402986,0.081729,0.093288,0.337497
reward_model_rlhf_surrogate,unseen_side_effect,80.0,0.521484,0.012569,0.523685,0.454221,0.012877,0.264984,0.002164,0.119171,0.006838,0.096325,0.007412,0.086878,0.196614,0.094873,0.399689,0.09038,0.098455,0.348734
reward_model_rlhf_surrogate,human_preference_shift,80.0,0.519062,0.012871,0.518192,0.443838,0.013196,0.265848,0.002181,0.119739,0.007024,0.086938,0.006444,0.10647,0.200151,0.103985,0.397858,0.096844,0.163052,0.360157
reward_model_rlhf_surrogate,delayed_effects,80.0,0.511758,0.012554,0.512974,0.435935,0.013125,0.270391,0.0022,0.126294,0.007102,0.095996,0.007263,0.092884,0.200189,0.102038,0.396639,0.154021,0.111795,0.361235
reward_model_rlhf_surrogate,latent_damage_shift,80.0,0.504258,0.013048,0.504625,0.425442,0.013736,0.26328,0.002126,0.130923,0.007547,0.099411,0.007691,0.096424,0.202367,0.103774,0.394281,0.141215,0.120817,0.366636
reward_model_rlhf_surrogate,combined_stress,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.383677
