method,split,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
uncertainty_query_preference_learner,nominal,80.0,0.59901,0.011584,0.597511,0.577321,0.010181,0.391747,0.002238,0.070435,0.003723,0.057403,0.003501,0.0694,0.317301,0.073166,0.491225,0.055764,0.062774,0.276666
uncertainty_query_preference_learner,seen_shift,80.0,0.568216,0.012802,0.568381,0.537942,0.011682,0.377961,0.002209,0.083985,0.004791,0.066279,0.004436,0.077439,0.326203,0.080017,0.485365,0.066791,0.0764,0.294845
uncertainty_query_preference_learner,unseen_object,80.0,0.549141,0.011951,0.549624,0.510925,0.011378,0.370629,0.002116,0.101023,0.006003,0.070924,0.004787,0.082786,0.332208,0.084888,0.480577,0.074358,0.085019,0.308838
uncertainty_query_preference_learner,unseen_side_effect,80.0,0.531836,0.01235,0.532104,0.486305,0.012165,0.347457,0.002115,0.10074,0.005812,0.085752,0.006284,0.085914,0.336346,0.088276,0.477541,0.081794,0.08951,0.316649
uncertainty_query_preference_learner,human_preference_shift,80.0,0.527214,0.012271,0.527139,0.476209,0.011923,0.350741,0.002101,0.101065,0.005999,0.077436,0.005497,0.102032,0.343642,0.0954,0.476601,0.087004,0.141461,0.327786
uncertainty_query_preference_learner,delayed_effects,80.0,0.522773,0.012746,0.522748,0.470722,0.012587,0.353829,0.002213,0.106595,0.006163,0.085243,0.006342,0.090892,0.3407,0.0941,0.475725,0.135371,0.100187,0.326448
uncertainty_query_preference_learner,latent_damage_shift,80.0,0.511276,0.013064,0.514007,0.457166,0.013047,0.345937,0.002177,0.110916,0.006426,0.088089,0.006546,0.094003,0.343395,0.09589,0.473786,0.124453,0.107608,0.334912
uncertainty_query_preference_learner,combined_stress,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.34774
constraint_aware_planner,nominal,80.0,0.604987,0.011168,0.603338,0.59128,0.009629,0.399543,0.00224,0.06349,0.003213,0.047142,0.002579,0.085015,0.246605,0.072235,0.476906,0.054835,0.063521,0.262707
constraint_aware_planner,seen_shift,80.0,0.574701,0.011968,0.575419,0.553715,0.010619,0.384666,0.002083,0.074607,0.004013,0.054104,0.003218,0.093567,0.2545,0.078159,0.472538,0.065202,0.077697,0.279073
constraint_aware_planner,unseen_object,80.0,0.557786,0.011795,0.557624,0.52959,0.010693,0.376859,0.002057,0.089434,0.005203,0.057031,0.003437,0.098979,0.259784,0.082555,0.468205,0.072231,0.087466,0.290173
constraint_aware_planner,unseen_side_effect,80.0,0.543464,0.012588,0.541403,0.509817,0.011497,0.354961,0.002111,0.087198,0.0049,0.066806,0.004518,0.102271,0.263635,0.085137,0.466098,0.079242,0.091858,0.293137
constraint_aware_planner,human_preference_shift,80.0,0.532279,0.011856,0.535502,0.492492,0.011047,0.356845,0.002128,0.089041,0.00506,0.061608,0.003958,0.119133,0.266754,0.093525,0.464014,0.084332,0.147796,0.311503
constraint_aware_planner,delayed_effects,80.0,0.529922,0.012509,0.531477,0.49008,0.011686,0.360928,0.002203,0.093437,0.005109,0.068071,0.004591,0.107592,0.267124,0.091238,0.463531,0.12962,0.103569,0.30709
constraint_aware_planner,latent_damage_shift,80.0,0.523971,0.011878,0.524141,0.481759,0.011386,0.353074,0.002276,0.096779,0.005413,0.069661,0.004736,0.110634,0.269243,0.092655,0.462322,0.119096,0.111068,0.310319
constraint_aware_planner,combined_stress,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.324131
failure_prediction_shield,nominal,80.0,0.602279,0.011276,0.60217,0.584052,0.009801,0.385956,0.002168,0.067838,0.003509,0.051299,0.002985,0.079051,0.226336,0.073433,0.457965,0.054265,0.064278,0.269935
failure_prediction_shield,seen_shift,80.0,0.576042,0.011663,0.574092,0.548982,0.010454,0.371266,0.002225,0.080528,0.00436,0.059219,0.003669,0.087462,0.23418,0.079655,0.453801,0.064476,0.07898,0.283805
failure_prediction_shield,unseen_object,80.0,0.555469,0.012091,0.55502,0.521436,0.01108,0.364062,0.002112,0.096073,0.005649,0.062647,0.004003,0.093383,0.239429,0.084735,0.448768,0.071589,0.088869,0.298328
failure_prediction_shield,unseen_side_effect,80.0,0.538281,0.012641,0.538329,0.498222,0.011759,0.341642,0.002053,0.094682,0.00531,0.074748,0.005264,0.096639,0.243265,0.087887,0.44638,0.078698,0.093818,0.304732
failure_prediction_shield,human_preference_shift,80.0,0.53599,0.011946,0.532752,0.48826,0.011486,0.343645,0.002173,0.096246,0.005663,0.068323,0.004612,0.113899,0.246176,0.096051,0.444322,0.084131,0.151418,0.315735
failure_prediction_shield,delayed_effects,80.0,0.528516,0.012216,0.52855,0.481613,0.011752,0.346401,0.002204,0.100831,0.005642,0.074955,0.005215,0.101339,0.246711,0.093783,0.444266,0.130198,0.105818,0.315557
failure_prediction_shield,latent_damage_shift,80.0,0.522865,0.012408,0.520971,0.473267,0.012106,0.339408,0.002229,0.104493,0.006034,0.077197,0.005434,0.105079,0.248802,0.095244,0.442626,0.119597,0.113613,0.31881
failure_prediction_shield,combined_stress,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.333778
side_effect_classifier_baseline,nominal,80.0,0.620885,0.011507,0.621537,0.623063,0.009806,0.454799,0.002126,0.05636,0.002817,0.048505,0.00272,0.078438,0.236314,0.070052,0.516125,0.051845,0.062204,0.230924
side_effect_classifier_baseline,seen_shift,80.0,0.59582,0.011798,0.595295,0.590501,0.010349,0.441161,0.002255,0.066546,0.003556,0.055881,0.003338,0.086725,0.244259,0.075319,0.511964,0.059978,0.075626,0.242287
side_effect_classifier_baseline,unseen_object,80.0,0.580951,0.011429,0.57795,0.569588,0.010126,0.434188,0.002123,0.077923,0.004428,0.058973,0.0036,0.092286,0.249579,0.079215,0.508467,0.065337,0.084462,0.250175
side_effect_classifier_baseline,unseen_side_effect,80.0,0.561797,0.012007,0.562789,0.544984,0.010958,0.412184,0.001997,0.078394,0.004354,0.069741,0.004729,0.095362,0.253444,0.081845,0.505867,0.070401,0.08861,0.25797
side_effect_classifier_baseline,human_preference_shift,80.0,0.56013,0.01176,0.557353,0.53656,0.010964,0.41446,0.002147,0.079392,0.004596,0.063878,0.004187,0.111288,0.256772,0.08904,0.504063,0.074785,0.140253,0.267435
side_effect_classifier_baseline,delayed_effects,80.0,0.553255,0.011573,0.553441,0.531592,0.010659,0.417914,0.002194,0.082636,0.004682,0.069819,0.004753,0.100345,0.256977,0.086439,0.504113,0.109472,0.09938,0.265578
side_effect_classifier_baseline,latent_damage_shift,80.0,0.546055,0.012122,0.545845,0.522047,0.011247,0.410171,0.002192,0.085961,0.004835,0.071727,0.004987,0.103425,0.259125,0.087561,0.50285,0.101569,0.106452,0.270031
side_effect_classifier_baseline,combined_stress,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.28285
inverse_reward_design_baseline,nominal,80.0,0.616172,0.011251,0.617999,0.614985,0.009734,0.426563,0.002125,0.061835,0.003116,0.051342,0.002883,0.077747,0.212971,0.070469,0.528258,0.053948,0.061417,0.239002
inverse_reward_design_baseline,seen_shift,80.0,0.591211,0.011491,0.590347,0.581813,0.010305,0.411707,0.002165,0.073035,0.003921,0.059115,0.003725,0.085658,0.221017,0.076011,0.523374,0.063096,0.073461,0.250974
inverse_reward_design_baseline,unseen_object,80.0,0.57125,0.011874,0.572594,0.556106,0.010719,0.406006,0.002218,0.086613,0.004972,0.062807,0.004003,0.090819,0.22641,0.080112,0.519405,0.069535,0.081989,0.263658
inverse_reward_design_baseline,unseen_side_effect,80.0,0.556172,0.012044,0.556513,0.534732,0.011219,0.383798,0.002248,0.086027,0.004834,0.074667,0.005232,0.093896,0.230303,0.082917,0.517094,0.07556,0.08565,0.268223
inverse_reward_design_baseline,human_preference_shift,80.0,0.549922,0.012053,0.552076,0.523605,0.011275,0.387075,0.002265,0.086721,0.004984,0.068062,0.004524,0.108722,0.234049,0.089342,0.515371,0.080356,0.13403,0.280389
inverse_reward_design_baseline,delayed_effects,80.0,0.544987,0.012241,0.547197,0.518131,0.011587,0.388758,0.002196,0.091201,0.005044,0.074713,0.005307,0.098704,0.233922,0.088242,0.514956,0.121246,0.095784,0.279039
inverse_reward_design_baseline,latent_damage_shift,80.0,0.539701,0.01221,0.539817,0.510216,0.011694,0.381403,0.002214,0.094678,0.005301,0.077066,0.005516,0.101702,0.236128,0.089083,0.513579,0.111992,0.102457,0.281862
inverse_reward_design_baseline,combined_stress,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.295199
conservative_safety_filter,nominal,80.0,0.606315,0.011304,0.607304,0.608905,0.009422,0.45654,0.002244,0.055351,0.002521,0.03916,0.001874,0.102233,0.240518,0.069386,0.493006,0.051759,0.063021,0.245082
conservative_safety_filter,seen_shift,80.0,0.584805,0.011703,0.581999,0.580373,0.009896,0.441059,0.002197,0.063162,0.00306,0.043493,0.002225,0.110753,0.248262,0.074192,0.489518,0.060418,0.077505,0.252414
conservative_safety_filter,unseen_object,80.0,0.565052,0.011563,0.564409,0.555413,0.009961,0.433761,0.002244,0.07485,0.004093,0.045566,0.002372,0.116947,0.253439,0.078029,0.485757,0.066032,0.087883,0.26435
conservative_safety_filter,unseen_side_effect,80.0,0.550221,0.011775,0.550272,0.536766,0.010315,0.411835,0.002125,0.072166,0.003632,0.051362,0.003007,0.120183,0.257246,0.080017,0.484976,0.071793,0.092486,0.266188
conservative_safety_filter,human_preference_shift,80.0,0.544648,0.011631,0.543598,0.522907,0.010221,0.412953,0.002152,0.073977,0.003856,0.048552,0.002684,0.138092,0.259739,0.088258,0.482091,0.076038,0.150468,0.281088
conservative_safety_filter,delayed_effects,80.0,0.540664,0.012177,0.540161,0.521243,0.010798,0.417205,0.002192,0.077203,0.003886,0.053246,0.00321,0.125625,0.260605,0.085335,0.482572,0.113277,0.104209,0.275927
conservative_safety_filter,latent_damage_shift,80.0,0.533307,0.011925,0.533324,0.512127,0.010572,0.409204,0.002186,0.079296,0.004123,0.054037,0.003248,0.12926,0.262638,0.086356,0.481398,0.104672,0.112458,0.279951
conservative_safety_filter,combined_stress,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.291635
preference_transformer_no_side_effects,nominal,80.0,0.621224,0.011158,0.621082,0.614036,0.009708,0.399928,0.00225,0.063978,0.00348,0.054815,0.003294,0.06658,0.224595,0.071306,0.541304,0.055423,0.061075,0.239951
preference_transformer_no_side_effects,seen_shift,80.0,0.591523,0.012276,0.593211,0.576459,0.010972,0.385322,0.002168,0.076046,0.00429,0.063857,0.004203,0.074102,0.232893,0.0768,0.536039,0.065814,0.072337,0.256328
preference_transformer_no_side_effects,unseen_object,80.0,0.573477,0.011668,0.574892,0.55117,0.010805,0.378991,0.002197,0.091804,0.005487,0.068002,0.00451,0.079094,0.238466,0.081535,0.531141,0.072981,0.080225,0.268593
preference_transformer_no_side_effects,unseen_side_effect,80.0,0.558633,0.012606,0.557665,0.529044,0.012101,0.356548,0.002139,0.091453,0.005417,0.08204,0.005943,0.082462,0.242431,0.084606,0.528304,0.079967,0.084108,0.27391
preference_transformer_no_side_effects,human_preference_shift,80.0,0.554401,0.012054,0.553061,0.520695,0.011627,0.360713,0.002315,0.091757,0.005503,0.074497,0.005216,0.095693,0.247221,0.09065,0.527956,0.085064,0.128892,0.2833
preference_transformer_no_side_effects,delayed_effects,80.0,0.546914,0.012006,0.548536,0.511803,0.011759,0.362869,0.002105,0.09746,0.005591,0.08155,0.005981,0.086683,0.246266,0.090022,0.526182,0.130797,0.093424,0.285367
preference_transformer_no_side_effects,latent_damage_shift,80.0,0.541628,0.01228,0.540467,0.503982,0.012335,0.355996,0.00224,0.101026,0.005929,0.084408,0.006247,0.089436,0.248616,0.090956,0.524628,0.120139,0.099481,0.288096
preference_transformer_no_side_effects,combined_stress,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.303509
human_query_max_uncertainty,nominal,80.0,0.619375,0.010542,0.620331,0.624275,0.008968,0.489252,0.002154,0.055712,0.002884,0.049933,0.002835,0.069703,0.402486,0.068361,0.590644,0.051297,0.058548,0.229712
human_query_max_uncertainty,seen_shift,80.0,0.595313,0.011603,0.593677,0.593143,0.010159,0.475506,0.002137,0.065834,0.003666,0.057219,0.003512,0.076326,0.411994,0.072864,0.586882,0.059908,0.067461,0.239645
human_query_max_uncertainty,unseen_object,80.0,0.576315,0.011911,0.576843,0.568607,0.010532,0.468511,0.002116,0.078445,0.004606,0.060777,0.003775,0.081004,0.418431,0.076562,0.582742,0.065644,0.073551,0.251157
human_query_max_uncertainty,unseen_side_effect,80.0,0.560039,0.011728,0.560978,0.546378,0.010731,0.447237,0.002134,0.078354,0.004548,0.072672,0.005029,0.08381,0.422742,0.07921,0.579979,0.071379,0.076142,0.256576
human_query_max_uncertainty,human_preference_shift,80.0,0.558503,0.01208,0.55654,0.541473,0.011124,0.452933,0.002196,0.078513,0.004559,0.065995,0.004349,0.094258,0.432543,0.084036,0.579697,0.075261,0.110549,0.262522
human_query_max_uncertainty,delayed_effects,80.0,0.551159,0.011997,0.551167,0.533016,0.011261,0.452854,0.002146,0.082882,0.004694,0.072179,0.004986,0.087712,0.427613,0.083668,0.578844,0.112425,0.083464,0.264154
human_query_max_uncertainty,latent_damage_shift,80.0,0.54543,0.012316,0.544425,0.525003,0.011467,0.446279,0.002109,0.086083,0.004952,0.074717,0.005245,0.090179,0.430654,0.084686,0.577163,0.103642,0.08818,0.267075
human_query_max_uncertainty,combined_stress,80.0,0.530326,0.011736,0.531525,0.504159,0.011258,0.438779,0.002289,0.092737,0.005486,0.077096,0.005479,0.097571,0.438478,0.088974,0.57424,0.108044,0.106924,0.280575
physical_affordance_penalty,nominal,80.0,0.630846,0.011395,0.63235,0.637647,0.009504,0.462846,0.002072,0.053437,0.002619,0.043048,0.00217,0.086732,0.215496,0.068623,0.529274,0.051811,0.061495,0.21634
physical_affordance_penalty,seen_shift,80.0,0.607813,0.011714,0.60585,0.607596,0.010134,0.447572,0.002196,0.062397,0.003227,0.048515,0.002682,0.094115,0.22334,0.073755,0.525802,0.060014,0.073883,0.225192
physical_affordance_penalty,unseen_object,80.0,0.591393,0.011993,0.589205,0.586025,0.010578,0.441863,0.002274,0.073556,0.004208,0.05065,0.002805,0.099781,0.228589,0.077037,0.522101,0.065594,0.082825,0.233738
physical_affordance_penalty,unseen_side_effect,80.0,0.576901,0.011172,0.574745,0.566415,0.009944,0.419673,0.002171,0.071921,0.003817,0.059271,0.003726,0.103201,0.232425,0.079281,0.519914,0.070805,0.086776,0.236539
physical_affordance_penalty,human_preference_shift,80.0,0.570312,0.011728,0.568674,0.553833,0.010382,0.422226,0.002241,0.073648,0.004074,0.054944,0.003255,0.118209,0.235336,0.086618,0.518677,0.075038,0.136747,0.250162
physical_affordance_penalty,delayed_effects,80.0,0.564453,0.011699,0.564851,0.549408,0.010607,0.424664,0.002177,0.076541,0.004103,0.059966,0.003811,0.107683,0.235871,0.084476,0.518206,0.110843,0.097199,0.247762
physical_affordance_penalty,latent_damage_shift,80.0,0.557656,0.011676,0.557885,0.540896,0.010664,0.417874,0.002216,0.079108,0.004259,0.061262,0.003916,0.11095,0.237962,0.085111,0.516965,0.102432,0.103946,0.251182
physical_affordance_penalty,combined_stress,80.0,0.547422,0.011666,0.545448,0.522699,0.010729,0.407768,0.002158,0.085625,0.004812,0.063147,0.004135,0.120689,0.241984,0.090563,0.513962,0.106781,0.131197,0.262035
risk_calibrated_reward_model,nominal,80.0,0.645104,0.011158,0.646663,0.672485,0.009233,0.501905,0.00218,0.043919,0.002401,0.041769,0.002128,0.068878,0.211817,0.065235,0.609949,0.048554,0.05879,0.181502
risk_calibrated_reward_model,seen_shift,80.0,0.623268,0.010871,0.621583,0.644508,0.00916,0.48801,0.002158,0.051928,0.00295,0.047227,0.002523,0.075872,0.220015,0.069179,0.606261,0.055699,0.068031,0.18828
risk_calibrated_reward_model,unseen_object,80.0,0.605534,0.011436,0.605023,0.622484,0.009935,0.48163,0.002194,0.062199,0.003662,0.049679,0.00283,0.080398,0.225516,0.072437,0.60285,0.060109,0.074083,0.19728
risk_calibrated_reward_model,unseen_side_effect,80.0,0.593138,0.01133,0.590222,0.604721,0.010024,0.459802,0.002087,0.061613,0.003586,0.057669,0.003644,0.083051,0.229452,0.074455,0.600645,0.064682,0.077008,0.198233
risk_calibrated_reward_model,human_preference_shift,80.0,0.586367,0.011472,0.586134,0.594975,0.010018,0.465811,0.002193,0.062496,0.003608,0.053502,0.003188,0.09448,0.233824,0.079548,0.599996,0.068344,0.112653,0.20902
risk_calibrated_reward_model,delayed_effects,80.0,0.580182,0.011187,0.581163,0.588747,0.010028,0.465483,0.002192,0.065688,0.003725,0.058067,0.003728,0.087083,0.233201,0.07852,0.599272,0.098662,0.084462,0.208423
risk_calibrated_reward_model,latent_damage_shift,80.0,0.575794,0.012035,0.574355,0.582617,0.010552,0.459025,0.002128,0.067446,0.00386,0.059296,0.003821,0.089892,0.235493,0.079249,0.59866,0.09152,0.089748,0.209461
risk_calibrated_reward_model,combined_stress,80.0,0.563737,0.011941,0.562999,0.56484,0.010744,0.45111,0.002133,0.073005,0.004327,0.061487,0.003947,0.097583,0.240321,0.083166,0.595942,0.094764,0.109401,0.219894
proposed_side_effect_preference_model_v4,nominal,80.0,0.674089,0.011077,0.671814,0.717375,0.009105,0.571631,0.002024,0.032899,0.001783,0.037677,0.001827,0.067105,0.193721,0.062156,0.626973,0.047666,0.058796,0.136612
proposed_side_effect_preference_model_v4,seen_shift,80.0,0.64793,0.01117,0.648861,0.687566,0.009377,0.557752,0.002315,0.037937,0.002124,0.04148,0.002056,0.074181,0.202171,0.065702,0.624368,0.052208,0.069291,0.145221
proposed_side_effect_preference_model_v4,unseen_object,80.0,0.634036,0.011292,0.633889,0.670375,0.009403,0.551012,0.002215,0.043522,0.002493,0.043592,0.002235,0.079385,0.207852,0.067537,0.622264,0.055136,0.076565,0.149389
proposed_side_effect_preference_model_v4,unseen_side_effect,80.0,0.621159,0.011146,0.620956,0.652436,0.00946,0.529262,0.002285,0.044393,0.002507,0.049582,0.002873,0.082545,0.21186,0.069661,0.620816,0.058018,0.08001,0.150518
proposed_side_effect_preference_model_v4,human_preference_shift,80.0,0.616732,0.011533,0.616018,0.643069,0.009656,0.533361,0.00224,0.045032,0.002688,0.046383,0.002582,0.095635,0.217276,0.074905,0.618947,0.060341,0.122163,0.160926
proposed_side_effect_preference_model_v4,delayed_effects,80.0,0.612031,0.011167,0.612231,0.640881,0.009504,0.534742,0.002122,0.047045,0.002645,0.050594,0.002987,0.086814,0.215825,0.072572,0.619445,0.079685,0.088603,0.156289
proposed_side_effect_preference_model_v4,latent_damage_shift,80.0,0.607292,0.011543,0.605781,0.634341,0.009978,0.527915,0.002149,0.048156,0.002766,0.051423,0.003046,0.08971,0.218261,0.073587,0.618489,0.075106,0.094206,0.157737
proposed_side_effect_preference_model_v4,combined_stress,80.0,0.594063,0.011198,0.595356,0.616135,0.009772,0.519588,0.00225,0.051318,0.003133,0.052952,0.003203,0.098344,0.223665,0.077212,0.616217,0.077406,0.117519,0.168599
side_effect_causal_preference_model_v5,nominal,80.0,0.701901,0.010701,0.702643,0.771629,0.0087,0.633797,0.002143,0.022415,0.001473,0.031948,0.001288,0.055057,0.178419,0.057661,0.722226,0.04043,0.054451,0.082358
side_effect_causal_preference_model_v5,seen_shift,80.0,0.681016,0.010604,0.680777,0.748212,0.008592,0.621899,0.002159,0.026181,0.001641,0.034569,0.001513,0.060815,0.186969,0.060115,0.720152,0.042759,0.059435,0.084575
side_effect_causal_preference_model_v5,unseen_object,80.0,0.66526,0.010438,0.666417,0.731566,0.008616,0.616088,0.002221,0.029267,0.001815,0.036013,0.001563,0.064221,0.192722,0.060861,0.718542,0.044526,0.06261,0.088198
side_effect_causal_preference_model_v5,unseen_side_effect,80.0,0.655052,0.011096,0.654181,0.716528,0.0091,0.593847,0.002168,0.030399,0.001896,0.040099,0.001975,0.066905,0.196759,0.062466,0.717492,0.046137,0.064552,0.086426
side_effect_causal_preference_model_v5,human_preference_shift,80.0,0.650417,0.011061,0.650966,0.711159,0.009097,0.602959,0.002167,0.031019,0.001951,0.037745,0.001758,0.073538,0.202593,0.065109,0.716301,0.047252,0.08417,0.092836
side_effect_causal_preference_model_v5,delayed_effects,80.0,0.643281,0.010837,0.645822,0.705431,0.009015,0.600085,0.002112,0.03182,0.001939,0.039982,0.001968,0.070014,0.20081,0.06391,0.716797,0.057624,0.068838,0.091739
side_effect_causal_preference_model_v5,latent_damage_shift,80.0,0.641602,0.010631,0.639567,0.702009,0.008702,0.594042,0.002175,0.03219,0.002005,0.04091,0.002095,0.071743,0.203304,0.064568,0.71616,0.055283,0.071283,0.090069
side_effect_causal_preference_model_v5,combined_stress,80.0,0.632852,0.01117,0.630779,0.690144,0.009357,0.587805,0.002152,0.034638,0.002231,0.041749,0.002046,0.07721,0.208939,0.066515,0.714415,0.056492,0.082043,0.09459
oracle_human_side_effect_judge,nominal,80.0,0.775286,0.009884,0.77394,0.853987,0.007967,0.66976,0.002278,0.011782,0.001131,0.026263,0.000976,0.041673,0.166531,0.053481,0.793986,0.037054,0.051874,0.0
