ablation,task,regime,split,seed,episodes,success,success_probability,side_effect_violation,preference_regret,side_effect_recall,false_alarm,query_cost,damage_rate,data_efficiency_proxy
full_side_effect_preference_model,table_clearing,nominal,combined_stress,0,84,0.5833,0.6093,0.017,0.0487,0.5908,0.0865,0.2179,0.0275,0.6251
full_side_effect_preference_model,table_clearing,nominal,combined_stress,1,84,0.631,0.6093,0.0217,0.0555,0.6087,0.0916,0.2179,0.0277,0.6452
full_side_effect_preference_model,table_clearing,nominal,combined_stress,2,84,0.5714,0.6141,0.0115,0.0541,0.5826,0.0889,0.2179,0.0319,0.6258
full_side_effect_preference_model,table_clearing,nominal,combined_stress,3,84,0.6667,0.6222,0.0197,0.0621,0.5968,0.0792,0.2179,0.0249,0.629
full_side_effect_preference_model,table_clearing,nominal,combined_stress,4,84,0.6071,0.6122,0.0198,0.0561,0.6191,0.0929,0.2179,0.0277,0.6243
full_side_effect_preference_model,table_clearing,nominal,combined_stress,5,84,0.631,0.6118,0.0106,0.0448,0.5932,0.0818,0.2179,0.0243,0.6286
full_side_effect_preference_model,table_clearing,nominal,combined_stress,6,84,0.5595,0.6074,0.0163,0.0577,0.5908,0.0818,0.2179,0.0239,0.6202
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,0,84,0.631,0.5931,0.0526,0.0724,0.5962,0.0812,0.2286,0.0535,0.6152
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,1,84,0.4405,0.5886,0.0321,0.0642,0.5925,0.09,0.2286,0.0463,0.6325
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,2,84,0.6071,0.5861,0.036,0.0535,0.6095,0.092,0.2286,0.0542,0.6461
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,3,84,0.6905,0.5965,0.0335,0.0654,0.5733,0.0866,0.2286,0.0525,0.6351
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,4,84,0.5952,0.5989,0.041,0.0636,0.6081,0.0852,0.2286,0.0489,0.629
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,5,84,0.6071,0.5996,0.0357,0.0625,0.6083,0.0866,0.2286,0.0452,0.6322
full_side_effect_preference_model,table_clearing,force_damage,combined_stress,6,84,0.5238,0.5932,0.0412,0.0698,0.6078,0.0904,0.2286,0.0477,0.6216
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,0,84,0.5952,0.6026,0.044,0.0655,0.615,0.0853,0.228,0.0424,0.6192
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,1,84,0.5714,0.5896,0.0572,0.0642,0.5996,0.0895,0.228,0.0355,0.6287
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,2,84,0.5952,0.5975,0.0491,0.0604,0.5892,0.0789,0.228,0.0406,0.6149
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,3,84,0.631,0.5872,0.0503,0.0698,0.6141,0.0805,0.228,0.0391,0.6326
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,4,84,0.4881,0.5852,0.0475,0.0596,0.5992,0.0822,0.228,0.0424,0.6219
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,5,84,0.6429,0.6096,0.0465,0.0572,0.5949,0.0874,0.228,0.0395,0.6321
full_side_effect_preference_model,table_clearing,object_displacement,combined_stress,6,84,0.6071,0.6037,0.0419,0.0626,0.5908,0.0865,0.228,0.0457,0.6355
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,0,84,0.5476,0.589,0.057,0.057,0.5995,0.0807,0.229,0.0353,0.6173
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,1,84,0.5952,0.5935,0.0698,0.0666,0.5978,0.0764,0.229,0.0466,0.6207
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,2,84,0.5476,0.5852,0.045,0.06,0.5809,0.0854,0.229,0.0308,0.6214
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,3,84,0.5952,0.5907,0.0427,0.0573,0.6085,0.0822,0.229,0.0382,0.632
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,4,84,0.6429,0.5948,0.0604,0.0584,0.6185,0.0851,0.229,0.0398,0.6219
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,5,84,0.5952,0.597,0.0526,0.0571,0.5977,0.0878,0.229,0.0394,0.6283
full_side_effect_preference_model,table_clearing,clutter_accumulation,combined_stress,6,84,0.5476,0.5884,0.051,0.0708,0.583,0.0881,0.229,0.0421,0.6125
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,0,84,0.5833,0.5988,0.0463,0.0696,0.5957,0.0849,0.2293,0.0435,0.6354
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,1,84,0.6667,0.6001,0.0408,0.0681,0.5994,0.0848,0.2293,0.0377,0.63
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,2,84,0.6548,0.605,0.0502,0.0616,0.6113,0.0844,0.2293,0.0516,0.6236
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,3,84,0.6905,0.5971,0.0501,0.071,0.5999,0.0859,0.2293,0.0378,0.624
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,4,84,0.6905,0.5891,0.0434,0.0593,0.616,0.0809,0.2293,0.0448,0.6125
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,5,84,0.631,0.5889,0.0561,0.0576,0.6191,0.0834,0.2293,0.0468,0.6199
full_side_effect_preference_model,table_clearing,unstable_placement,combined_stress,6,84,0.6071,0.5907,0.0465,0.0665,0.5965,0.091,0.2293,0.0402,0.6207
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,0,84,0.5476,0.5856,0.0514,0.0621,0.5891,0.0859,0.2296,0.0486,0.6313
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,1,84,0.619,0.583,0.0574,0.0652,0.6003,0.0913,0.2296,0.0504,0.6356
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,2,84,0.5714,0.5895,0.0562,0.0681,0.6099,0.081,0.2296,0.0546,0.6351
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,3,84,0.5238,0.5833,0.0466,0.0674,0.5982,0.0882,0.2296,0.057,0.6218
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,4,84,0.5833,0.5809,0.0547,0.0644,0.6184,0.0815,0.2296,0.0606,0.622
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,5,84,0.619,0.5953,0.0502,0.0673,0.6101,0.0816,0.2296,0.0472,0.6303
full_side_effect_preference_model,table_clearing,irreversible_change,combined_stress,6,84,0.5833,0.5751,0.0644,0.076,0.6069,0.0872,0.2296,0.0548,0.6272
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,0,84,0.5833,0.5913,0.0685,0.0757,0.5992,0.0826,0.2317,0.06,0.616
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,1,84,0.5952,0.5785,0.076,0.0791,0.6026,0.0896,0.2317,0.0596,0.6336
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,2,84,0.5,0.5823,0.0678,0.0774,0.6178,0.0828,0.2317,0.0608,0.6172
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,3,84,0.5476,0.5786,0.0649,0.0697,0.6042,0.0821,0.2317,0.063,0.6298
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,4,84,0.5238,0.5698,0.0725,0.0726,0.5909,0.0842,0.2317,0.0592,0.6076
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,5,84,0.5238,0.5879,0.0654,0.0695,0.6239,0.0842,0.2317,0.0549,0.6309
full_side_effect_preference_model,table_clearing,combined_side_effect_stress,combined_stress,6,84,0.5357,0.5794,0.0751,0.0709,0.6094,0.0787,0.2317,0.0627,0.6249
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,0,84,0.6548,0.5944,0.0201,0.0612,0.5923,0.0815,0.2179,0.0334,0.6338
