ablation,task,regime,split,seed,episodes,success,success_probability,side_effect_violation,preference_regret,side_effect_recall,false_alarm,query_cost,damage_rate,data_efficiency_proxy
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,1,84,0.5952,0.6158,0.0092,0.0521,0.6032,0.0779,0.2179,0.0272,0.635
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,2,84,0.5714,0.5992,0.0201,0.0644,0.6062,0.0805,0.2179,0.0252,0.6395
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,3,84,0.7381,0.5979,0.0157,0.0574,0.6039,0.0871,0.2179,0.036,0.6286
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,4,84,0.5952,0.6121,0.0111,0.0604,0.5968,0.0893,0.2179,0.0303,0.6223
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,5,84,0.5833,0.6121,0.0155,0.0548,0.5982,0.0863,0.2179,0.0248,0.6158
full_side_effect_preference_model,drawer_retrieval,nominal,combined_stress,6,84,0.6071,0.6184,0.0201,0.0601,0.6101,0.0854,0.2179,0.0246,0.6348
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,0,84,0.631,0.5968,0.0435,0.0659,0.5985,0.0889,0.2286,0.0617,0.631
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,1,84,0.5833,0.5847,0.0398,0.0685,0.6011,0.0806,0.2286,0.0545,0.612
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,2,84,0.5714,0.5863,0.0436,0.0653,0.6152,0.0796,0.2286,0.0597,0.6291
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,3,84,0.6071,0.5711,0.0497,0.0702,0.5996,0.0889,0.2286,0.0559,0.6186
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,4,84,0.5952,0.5872,0.0377,0.0639,0.6131,0.0806,0.2286,0.0472,0.6343
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,5,84,0.6548,0.587,0.0393,0.0686,0.5895,0.0847,0.2286,0.0527,0.6267
full_side_effect_preference_model,drawer_retrieval,force_damage,combined_stress,6,84,0.5595,0.5828,0.0401,0.0634,0.6072,0.0857,0.2286,0.0509,0.6321
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,0,84,0.6667,0.6008,0.0401,0.0704,0.5939,0.0909,0.228,0.0414,0.6161
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,1,84,0.6071,0.594,0.0342,0.0616,0.5959,0.0818,0.228,0.0446,0.6338
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,2,84,0.6667,0.5893,0.0356,0.0587,0.5964,0.0799,0.228,0.0392,0.6275
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,3,84,0.5714,0.589,0.0363,0.0658,0.5841,0.0818,0.228,0.0434,0.6106
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,4,84,0.4167,0.5852,0.0339,0.059,0.5961,0.0846,0.228,0.0399,0.617
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,5,84,0.5595,0.5958,0.0393,0.0605,0.5897,0.0857,0.228,0.044,0.6224
full_side_effect_preference_model,drawer_retrieval,object_displacement,combined_stress,6,84,0.4881,0.5977,0.0366,0.0584,0.5989,0.0833,0.228,0.0352,0.6301
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,0,84,0.619,0.5826,0.0349,0.0687,0.6068,0.0926,0.229,0.0382,0.629
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,1,84,0.4881,0.5813,0.0401,0.06,0.5958,0.0859,0.229,0.0463,0.6325
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,2,84,0.5357,0.5966,0.0366,0.0557,0.6024,0.0926,0.229,0.0396,0.6094
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,3,84,0.4762,0.5899,0.0371,0.0648,0.6187,0.0874,0.229,0.0453,0.6155
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,4,84,0.5595,0.5849,0.0346,0.064,0.6095,0.0855,0.229,0.0436,0.6169
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,5,84,0.619,0.6005,0.0313,0.0546,0.6165,0.0843,0.229,0.0314,0.6185
full_side_effect_preference_model,drawer_retrieval,clutter_accumulation,combined_stress,6,84,0.5833,0.5949,0.0314,0.0642,0.6061,0.0853,0.229,0.0441,0.6219
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,0,84,0.5119,0.5876,0.0439,0.0728,0.6059,0.0889,0.2293,0.0396,0.6283
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,1,84,0.619,0.5787,0.0494,0.0681,0.6105,0.0848,0.2293,0.0495,0.6107
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,2,84,0.5357,0.5835,0.0434,0.0644,0.6037,0.087,0.2293,0.0487,0.6241
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,3,84,0.6071,0.5919,0.0409,0.0604,0.5903,0.0802,0.2293,0.0466,0.6104
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,4,84,0.6071,0.5791,0.0335,0.0679,0.6034,0.0859,0.2293,0.0499,0.6193
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,5,84,0.5952,0.5816,0.0449,0.0658,0.5911,0.0883,0.2293,0.0497,0.6409
full_side_effect_preference_model,drawer_retrieval,unstable_placement,combined_stress,6,84,0.5952,0.5729,0.0458,0.0732,0.5934,0.0885,0.2293,0.0466,0.628
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,0,84,0.5952,0.5914,0.0467,0.0687,0.5965,0.084,0.2296,0.0535,0.6309
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,1,84,0.5714,0.5825,0.0434,0.0699,0.6126,0.0804,0.2296,0.0531,0.6262
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,2,84,0.631,0.5883,0.0363,0.0698,0.6089,0.0829,0.2296,0.0514,0.6311
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,3,84,0.5119,0.5831,0.0408,0.0695,0.5933,0.0799,0.2296,0.0566,0.6262
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,4,84,0.4881,0.583,0.0472,0.0664,0.6088,0.0789,0.2296,0.0579,0.6278
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,5,84,0.4762,0.5817,0.0503,0.0678,0.6064,0.0808,0.2296,0.0529,0.6212
full_side_effect_preference_model,drawer_retrieval,irreversible_change,combined_stress,6,84,0.5952,0.5842,0.0481,0.0723,0.6119,0.0807,0.2296,0.0546,0.6156
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,0,84,0.5476,0.5805,0.0687,0.0744,0.6067,0.0894,0.2317,0.0636,0.6059
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,1,84,0.5,0.5732,0.0558,0.0701,0.6043,0.079,0.2317,0.0612,0.6157
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,2,84,0.5238,0.5753,0.0737,0.0806,0.6146,0.0849,0.2317,0.063,0.6208
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,3,84,0.5952,0.57,0.0647,0.0734,0.6059,0.0801,0.2317,0.0665,0.6282
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,4,84,0.5476,0.5784,0.056,0.0745,0.6228,0.0833,0.2317,0.0587,0.6392
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,5,84,0.5476,0.5759,0.0549,0.0779,0.5939,0.0775,0.2317,0.0658,0.6195
full_side_effect_preference_model,drawer_retrieval,combined_side_effect_stress,combined_stress,6,84,0.5476,0.5708,0.0571,0.0739,0.6007,0.0844,0.2317,0.0673,0.6346
full_side_effect_preference_model,cable_routing,nominal,combined_stress,0,84,0.6429,0.6013,0.0254,0.0591,0.6027,0.0835,0.2179,0.0259,0.6311
full_side_effect_preference_model,cable_routing,nominal,combined_stress,1,84,0.5833,0.6088,0.022,0.0571,0.6017,0.0968,0.2179,0.0283,0.6235
full_side_effect_preference_model,cable_routing,nominal,combined_stress,2,84,0.5238,0.6147,0.0142,0.0522,0.6048,0.0775,0.2179,0.0297,0.627
full_side_effect_preference_model,cable_routing,nominal,combined_stress,3,84,0.4762,0.6017,0.0098,0.0511,0.6105,0.0875,0.2179,0.0231,0.6247
full_side_effect_preference_model,cable_routing,nominal,combined_stress,4,84,0.619,0.6017,0.0258,0.0611,0.5976,0.0856,0.2179,0.0381,0.6311
full_side_effect_preference_model,cable_routing,nominal,combined_stress,5,84,0.6548,0.6067,0.015,0.0573,0.597,0.0835,0.2179,0.0309,0.603
full_side_effect_preference_model,cable_routing,nominal,combined_stress,6,84,0.6786,0.5907,0.0132,0.0456,0.6007,0.0829,0.2179,0.0249,0.6267
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,0,84,0.5238,0.5674,0.0436,0.0597,0.5959,0.0795,0.2286,0.0482,0.6214
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,1,84,0.5714,0.5731,0.035,0.0671,0.6208,0.0883,0.2286,0.0554,0.6253
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,2,84,0.5714,0.5609,0.0319,0.064,0.6013,0.0875,0.2286,0.0516,0.6182
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,3,84,0.5952,0.5698,0.0357,0.0647,0.6016,0.0885,0.2286,0.0502,0.618
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,4,84,0.5357,0.5735,0.0404,0.0653,0.5967,0.0848,0.2286,0.048,0.6219
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,5,84,0.5595,0.5773,0.04,0.0728,0.591,0.0907,0.2286,0.0498,0.6403
full_side_effect_preference_model,cable_routing,force_damage,combined_stress,6,84,0.4881,0.5799,0.0357,0.0641,0.6035,0.0939,0.2286,0.0535,0.6132
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,0,84,0.6548,0.5877,0.0426,0.0715,0.606,0.085,0.228,0.0397,0.643
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,1,84,0.5952,0.5831,0.0471,0.0602,0.5917,0.0761,0.228,0.0424,0.6491
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,2,84,0.4881,0.5899,0.0392,0.0647,0.6084,0.0927,0.228,0.0461,0.6182
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,3,84,0.5714,0.5822,0.0416,0.06,0.6089,0.0925,0.228,0.0367,0.622
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,4,84,0.5833,0.5796,0.0394,0.0622,0.5933,0.0869,0.228,0.0464,0.6296
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,5,84,0.5952,0.5875,0.0382,0.0636,0.5877,0.085,0.228,0.0346,0.6334
full_side_effect_preference_model,cable_routing,object_displacement,combined_stress,6,84,0.5476,0.5931,0.0525,0.0639,0.5975,0.079,0.228,0.0406,0.6238
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,0,84,0.619,0.5808,0.0563,0.0668,0.5976,0.0824,0.229,0.0403,0.6183
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,1,84,0.7024,0.5832,0.0455,0.0711,0.5918,0.0809,0.229,0.0401,0.6321
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,2,84,0.5714,0.581,0.0424,0.0664,0.6103,0.0894,0.229,0.0428,0.6377
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,3,84,0.5476,0.5726,0.0443,0.0668,0.6038,0.0853,0.229,0.0367,0.6231
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,4,84,0.5714,0.5856,0.0498,0.0664,0.5959,0.0854,0.229,0.0411,0.6216
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,5,84,0.6429,0.5707,0.0488,0.0649,0.6029,0.0846,0.229,0.0374,0.6368
full_side_effect_preference_model,cable_routing,clutter_accumulation,combined_stress,6,84,0.5952,0.5788,0.0465,0.0615,0.6192,0.0795,0.229,0.0329,0.6255
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,0,84,0.6667,0.5648,0.0576,0.071,0.6,0.0836,0.2293,0.0482,0.6213
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,1,84,0.6667,0.5699,0.0495,0.0709,0.5963,0.0864,0.2293,0.0498,0.6353
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,2,84,0.5476,0.5772,0.0571,0.0633,0.6116,0.0812,0.2293,0.0464,0.6142
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,3,84,0.5357,0.567,0.043,0.0669,0.5901,0.0878,0.2293,0.0468,0.6241
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,4,84,0.5595,0.5772,0.0512,0.0682,0.614,0.082,0.2293,0.0415,0.6199
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,5,84,0.6071,0.5751,0.0442,0.0691,0.6124,0.0841,0.2293,0.044,0.6294
full_side_effect_preference_model,cable_routing,unstable_placement,combined_stress,6,84,0.6071,0.574,0.0545,0.0681,0.6111,0.0799,0.2293,0.0501,0.6343
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,0,84,0.6429,0.5767,0.0549,0.0684,0.6212,0.0843,0.2296,0.0577,0.6178
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,1,84,0.631,0.572,0.0461,0.0682,0.6097,0.0912,0.2296,0.0553,0.6163
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,2,84,0.5714,0.5592,0.0595,0.0839,0.584,0.0823,0.2296,0.0495,0.6235
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,3,84,0.5833,0.5706,0.0583,0.0744,0.6,0.0811,0.2296,0.0527,0.6225
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,4,84,0.4762,0.5856,0.0493,0.0634,0.6136,0.0842,0.2296,0.0534,0.6308
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,5,84,0.6071,0.5663,0.0512,0.058,0.6153,0.0855,0.2296,0.0533,0.6321
full_side_effect_preference_model,cable_routing,irreversible_change,combined_stress,6,84,0.5952,0.5603,0.0545,0.0656,0.5988,0.0752,0.2296,0.0489,0.6362
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,0,84,0.5238,0.5684,0.084,0.0773,0.5742,0.0782,0.2317,0.0585,0.6314
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,1,84,0.6786,0.5568,0.0712,0.0732,0.5832,0.0839,0.2317,0.0635,0.6408
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,2,84,0.619,0.5677,0.0726,0.0763,0.6057,0.0835,0.2317,0.0612,0.6286
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,3,84,0.4643,0.5619,0.0736,0.0788,0.5964,0.0904,0.2317,0.0637,0.6276
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,4,84,0.5,0.5506,0.0765,0.0832,0.599,0.0858,0.2317,0.0655,0.6229
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,5,84,0.5238,0.5548,0.0802,0.0769,0.6003,0.0808,0.2317,0.0634,0.6417
full_side_effect_preference_model,cable_routing,combined_side_effect_stress,combined_stress,6,84,0.5476,0.5538,0.0757,0.0757,0.5835,0.0859,0.2317,0.0608,0.6091
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,0,84,0.5952,0.5955,0.022,0.0499,0.5833,0.0842,0.2179,0.0216,0.6286
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,1,84,0.5833,0.5886,0.0175,0.0621,0.6029,0.084,0.2179,0.0266,0.63
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,2,84,0.5595,0.6037,0.0122,0.0644,0.6318,0.0845,0.2179,0.0302,0.6252
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,3,84,0.5714,0.6015,0.0226,0.0601,0.6018,0.0876,0.2179,0.0319,0.6301
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,4,84,0.6429,0.5837,0.0162,0.0578,0.5931,0.0893,0.2179,0.0228,0.6328
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,5,84,0.6071,0.592,0.0207,0.0551,0.5893,0.0811,0.2179,0.0278,0.6259
full_side_effect_preference_model,tool_handoff,nominal,combined_stress,6,84,0.6429,0.6081,0.0259,0.0581,0.606,0.0863,0.2179,0.0236,0.6436
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,0,84,0.5952,0.5679,0.0537,0.0721,0.5955,0.0845,0.2286,0.0627,0.6318
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,1,84,0.619,0.5607,0.0498,0.0669,0.6023,0.0814,0.2286,0.0594,0.6228
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,2,84,0.5833,0.5722,0.0523,0.0644,0.6063,0.0865,0.2286,0.0585,0.6252
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,3,84,0.5119,0.5699,0.0512,0.0796,0.6002,0.0807,0.2286,0.0601,0.6231
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,4,84,0.4405,0.556,0.0486,0.0702,0.609,0.0879,0.2286,0.0506,0.6233
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,5,84,0.619,0.5789,0.0525,0.0652,0.6241,0.084,0.2286,0.0618,0.6254
full_side_effect_preference_model,tool_handoff,force_damage,combined_stress,6,84,0.5595,0.5652,0.0455,0.0637,0.6067,0.0916,0.2286,0.0576,0.6222
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,0,84,0.5833,0.5719,0.047,0.0655,0.5967,0.0882,0.228,0.0453,0.6271
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,1,84,0.619,0.5753,0.0412,0.0627,0.5941,0.0828,0.228,0.0366,0.6291
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,2,84,0.6548,0.5823,0.0456,0.0692,0.5868,0.092,0.228,0.0413,0.6236
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,3,84,0.6905,0.579,0.0445,0.0673,0.6255,0.0904,0.228,0.0517,0.6364
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,4,84,0.6548,0.5746,0.0449,0.0655,0.6092,0.0873,0.228,0.0484,0.643
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,5,84,0.4405,0.5884,0.051,0.0577,0.5883,0.0862,0.228,0.0491,0.6206
full_side_effect_preference_model,tool_handoff,object_displacement,combined_stress,6,84,0.4762,0.5719,0.0384,0.0711,0.5794,0.0882,0.228,0.0357,0.623
full_side_effect_preference_model,tool_handoff,clutter_accumulation,combined_stress,0,84,0.5476,0.5674,0.0466,0.0776,0.5955,0.0861,0.229,0.0441,0.6121
full_side_effect_preference_model,tool_handoff,clutter_accumulation,combined_stress,1,84,0.5238,0.5795,0.0445,0.075,0.5894,0.0775,0.229,0.0476,0.6362
full_side_effect_preference_model,tool_handoff,clutter_accumulation,combined_stress,2,84,0.5238,0.5742,0.0464,0.0669,0.5923,0.0815,0.229,0.0385,0.6134
full_side_effect_preference_model,tool_handoff,clutter_accumulation,combined_stress,3,84,0.5119,0.5689,0.0502,0.0692,0.6054,0.0858,0.229,0.0364,0.6209
full_side_effect_preference_model,tool_handoff,clutter_accumulation,combined_stress,4,84,0.5833,0.5735,0.0443,0.0647,0.5906,0.0819,0.229,0.0431,0.6244
