method,split,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
success_only_policy,nominal,0,80,0.535807,0.012565,0.524172,0.46314,0.011619,0.170024,0.002148,0.110015,0.005797,0.075101,0.005128,0.048034,0.056706,0.085809,0.269096,0.066953,0.071145,0.392449
success_only_policy,nominal,1,80,0.519661,0.013315,0.524504,0.450137,0.012632,0.169151,0.002529,0.110175,0.005718,0.075178,0.005022,0.047625,0.056706,0.085249,0.269381,0.06677,0.071424,0.403693
success_only_policy,nominal,2,80,0.528906,0.011468,0.525316,0.45768,0.010858,0.168394,0.002094,0.110543,0.005897,0.074036,0.004948,0.047279,0.056706,0.085385,0.269283,0.066518,0.070714,0.399171
success_only_policy,nominal,3,80,0.523698,0.012492,0.524633,0.453404,0.011882,0.169631,0.002062,0.110568,0.005696,0.074668,0.005376,0.048515,0.056706,0.085218,0.268821,0.066274,0.070948,0.404653
success_only_policy,nominal,4,80,0.516927,0.012345,0.524687,0.44777,0.011545,0.167947,0.002394,0.110603,0.005703,0.074004,0.005031,0.047981,0.056706,0.086546,0.269764,0.066865,0.070938,0.409933
success_only_policy,nominal,5,80,0.53151,0.01026,0.524719,0.459959,0.010273,0.170614,0.001982,0.110648,0.005772,0.074455,0.005217,0.047466,0.056706,0.084814,0.268583,0.066865,0.070895,0.394157
success_only_policy,nominal,6,80,0.527995,0.013038,0.523747,0.4574,0.012632,0.170705,0.002307,0.109999,0.005642,0.074466,0.005041,0.048113,0.056706,0.085064,0.269088,0.066915,0.070039,0.384123
success_only_policy,nominal,7,80,0.520443,0.012584,0.524229,0.451154,0.012393,0.168774,0.001835,0.109632,0.005855,0.074793,0.005134,0.047625,0.056706,0.084747,0.269092,0.066435,0.070184,0.406216
success_only_policy,nominal,8,80,0.526172,0.012994,0.524698,0.455174,0.012921,0.168772,0.001933,0.11093,0.005733,0.074511,0.005281,0.047461,0.056706,0.086303,0.269968,0.067088,0.070961,0.39975
success_only_policy,nominal,9,80,0.52526,0.012819,0.524332,0.454316,0.012518,0.168885,0.001996,0.110896,0.005758,0.075093,0.005088,0.047526,0.056706,0.085761,0.268332,0.066237,0.070519,0.39559
success_only_policy,seen_shift,0,80,0.491667,0.013178,0.490978,0.406598,0.012892,0.152356,0.002329,0.131599,0.007067,0.088723,0.006462,0.057722,0.064147,0.095729,0.260956,0.083933,0.092037,0.41741
success_only_policy,seen_shift,1,80,0.49987,0.013909,0.48896,0.412536,0.014019,0.150956,0.002131,0.132254,0.007231,0.088781,0.006413,0.057797,0.064147,0.095558,0.260015,0.084535,0.091996,0.426125
success_only_policy,seen_shift,2,80,0.4875,0.012657,0.490024,0.402719,0.012746,0.152322,0.002445,0.131837,0.007279,0.089322,0.006542,0.058394,0.064147,0.095778,0.259605,0.084436,0.092251,0.431087
success_only_policy,seen_shift,3,80,0.486068,0.014066,0.488568,0.401151,0.0144,0.151065,0.001992,0.132616,0.007416,0.089111,0.006536,0.057956,0.064147,0.095913,0.260421,0.084652,0.093344,0.427862
success_only_policy,seen_shift,4,80,0.496484,0.012246,0.489193,0.409962,0.013094,0.152941,0.002062,0.13291,0.007358,0.08904,0.006579,0.058185,0.064147,0.095642,0.261129,0.084656,0.09231,0.420885
success_only_policy,seen_shift,5,80,0.491927,0.011159,0.491142,0.407352,0.010863,0.15414,0.002259,0.130917,0.00715,0.088642,0.006373,0.058092,0.064147,0.095006,0.260012,0.084199,0.091475,0.427985
success_only_policy,seen_shift,6,80,0.495312,0.012933,0.489358,0.409415,0.013159,0.15323,0.001977,0.131148,0.007159,0.089106,0.006681,0.058157,0.064147,0.095986,0.260523,0.085682,0.092114,0.424487
success_only_policy,seen_shift,7,80,0.49375,0.014219,0.489935,0.408066,0.014081,0.153942,0.002043,0.132811,0.007153,0.089024,0.006476,0.057925,0.064147,0.095847,0.261254,0.084336,0.092015,0.425034
success_only_policy,seen_shift,8,80,0.481641,0.012646,0.489628,0.398518,0.013118,0.154043,0.002069,0.131862,0.007379,0.089121,0.006597,0.058265,0.064147,0.095676,0.260366,0.084326,0.092328,0.436706
success_only_policy,seen_shift,9,80,0.476823,0.013487,0.48845,0.3947,0.013261,0.152295,0.002295,0.131751,0.007293,0.08917,0.006609,0.057568,0.064147,0.095164,0.261655,0.084493,0.091792,0.439274
success_only_policy,unseen_object,0,80,0.466016,0.013603,0.467408,0.36864,0.01421,0.1434,0.002111,0.158004,0.009378,0.095649,0.007099,0.064839,0.069108,0.103214,0.252999,0.096133,0.106735,0.451506
success_only_policy,unseen_object,1,80,0.460417,0.013479,0.466391,0.364246,0.015038,0.143014,0.002463,0.158292,0.009389,0.095,0.007221,0.064884,0.069108,0.10269,0.25226,0.095533,0.106352,0.454473
success_only_policy,unseen_object,2,80,0.473438,0.012773,0.467472,0.374661,0.013059,0.14451,0.002026,0.158258,0.009334,0.09562,0.006963,0.065125,0.069108,0.103749,0.252647,0.095262,0.106538,0.442054
success_only_policy,unseen_object,3,80,0.464714,0.013327,0.468895,0.367762,0.014342,0.145058,0.002112,0.158332,0.009582,0.095743,0.006966,0.064313,0.069108,0.103985,0.252787,0.096172,0.106073,0.454695
success_only_policy,unseen_object,4,80,0.470182,0.012554,0.46664,0.372672,0.013825,0.14759,0.001906,0.158375,0.009296,0.095513,0.00709,0.065161,0.069108,0.103166,0.25298,0.096264,0.106299,0.448595
success_only_policy,unseen_object,5,80,0.477083,0.012233,0.469134,0.377966,0.013044,0.145503,0.002455,0.15795,0.009438,0.095838,0.007169,0.0639,0.069108,0.103063,0.252537,0.095857,0.106469,0.440561
success_only_policy,unseen_object,6,80,0.472005,0.013333,0.468013,0.373928,0.014797,0.144219,0.002073,0.157617,0.009401,0.094614,0.007116,0.065249,0.069108,0.104086,0.253614,0.095898,0.10651,0.445482
success_only_policy,unseen_object,7,80,0.463542,0.012655,0.467991,0.36691,0.013435,0.144071,0.00251,0.157526,0.0094,0.095921,0.007152,0.064694,0.069108,0.102944,0.25241,0.095201,0.106913,0.455299
success_only_policy,unseen_object,8,80,0.463021,0.01246,0.465265,0.366318,0.01299,0.145288,0.002514,0.158002,0.009368,0.096176,0.007006,0.065422,0.069108,0.103301,0.251883,0.095463,0.106628,0.451648
success_only_policy,unseen_object,9,80,0.468359,0.011999,0.467589,0.371021,0.013065,0.146473,0.002537,0.158444,0.009633,0.095541,0.007273,0.06385,0.069108,0.10343,0.252688,0.095903,0.106844,0.449199
success_only_policy,unseen_side_effect,0,80,0.441797,0.013214,0.446665,0.335855,0.014669,0.120035,0.002421,0.15661,0.009047,0.117669,0.009479,0.069157,0.072828,0.108166,0.248262,0.107995,0.112451,0.467324
success_only_policy,unseen_side_effect,1,80,0.433203,0.013891,0.4456,0.329133,0.01613,0.123046,0.002331,0.157324,0.008916,0.118478,0.009465,0.068619,0.072828,0.108265,0.248932,0.107739,0.113593,0.481108
success_only_policy,unseen_side_effect,2,80,0.445703,0.014159,0.446624,0.339738,0.016427,0.123684,0.002295,0.156853,0.009092,0.117424,0.009562,0.068601,0.072828,0.107792,0.248912,0.107634,0.113736,0.464112
success_only_policy,unseen_side_effect,3,80,0.440495,0.01301,0.44569,0.334556,0.015024,0.121411,0.002166,0.157638,0.009196,0.11831,0.009476,0.069737,0.072828,0.108441,0.248928,0.106874,0.113489,0.469779
success_only_policy,unseen_side_effect,4,80,0.440755,0.013558,0.446413,0.335436,0.014968,0.121689,0.002409,0.157189,0.008959,0.117164,0.009378,0.068611,0.072828,0.108262,0.249181,0.106755,0.113567,0.464263
success_only_policy,unseen_side_effect,5,80,0.445573,0.011875,0.444887,0.339053,0.0141,0.120885,0.00206,0.156574,0.00904,0.117606,0.009576,0.069232,0.072828,0.108067,0.248727,0.10721,0.113862,0.463175
success_only_policy,unseen_side_effect,6,80,0.448437,0.01356,0.446588,0.341571,0.015099,0.121484,0.002033,0.156193,0.009014,0.117603,0.009585,0.069111,0.072828,0.107879,0.248932,0.107993,0.113827,0.455219
success_only_policy,unseen_side_effect,7,80,0.446875,0.01503,0.446384,0.340713,0.016382,0.1243,0.001806,0.157116,0.009068,0.117894,0.009388,0.068875,0.072828,0.107503,0.249065,0.107123,0.113207,0.466422
success_only_policy,unseen_side_effect,8,80,0.445573,0.014491,0.444269,0.339041,0.015403,0.122294,0.002098,0.157098,0.008803,0.117305,0.009289,0.068993,0.072828,0.108917,0.248451,0.108112,0.113657,0.460991
