method,split,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
success_only_policy,unseen_side_effect,9,80,0.445573,0.013035,0.446214,0.338674,0.014972,0.120686,0.002157,0.157143,0.008932,0.118109,0.00944,0.069106,0.072828,0.108291,0.24833,0.107589,0.113182,0.463378
success_only_policy,human_preference_shift,0,80,0.440755,0.012038,0.438392,0.323264,0.014029,0.116536,0.00214,0.157938,0.009425,0.105843,0.007982,0.093851,0.074068,0.120448,0.246033,0.11614,0.196334,0.483154
success_only_policy,human_preference_shift,1,80,0.439844,0.012481,0.439524,0.323018,0.014254,0.118118,0.002212,0.158352,0.009331,0.105735,0.008133,0.09365,0.074068,0.120108,0.247994,0.115852,0.196743,0.475578
success_only_policy,human_preference_shift,2,80,0.434635,0.014005,0.438354,0.318665,0.015146,0.117805,0.002151,0.158454,0.009247,0.105166,0.008188,0.093033,0.074068,0.120316,0.24589,0.116367,0.196586,0.480839
success_only_policy,human_preference_shift,3,80,0.438021,0.013667,0.440612,0.321779,0.01533,0.11809,0.002194,0.15806,0.009377,0.104752,0.008117,0.093516,0.074068,0.120692,0.247113,0.116381,0.19578,0.47411
success_only_policy,human_preference_shift,4,80,0.435286,0.013154,0.4391,0.318977,0.015038,0.117656,0.002133,0.158719,0.009341,0.105638,0.007931,0.093288,0.074068,0.12064,0.247062,0.116207,0.197143,0.486295
success_only_policy,human_preference_shift,5,80,0.447656,0.01188,0.441243,0.328601,0.013572,0.116763,0.002068,0.159131,0.009371,0.105263,0.008311,0.093662,0.074068,0.120598,0.246311,0.116385,0.196532,0.479682
success_only_policy,human_preference_shift,6,80,0.426042,0.014232,0.439583,0.311548,0.016043,0.118538,0.002325,0.159181,0.009459,0.10537,0.008194,0.093486,0.074068,0.12081,0.246552,0.116721,0.19686,0.491719
success_only_policy,human_preference_shift,7,80,0.440625,0.013193,0.43972,0.323493,0.014325,0.118467,0.002072,0.158685,0.009126,0.104994,0.008073,0.093025,0.074068,0.120969,0.245975,0.116301,0.196428,0.480968
success_only_policy,human_preference_shift,8,80,0.441146,0.01384,0.439882,0.323458,0.01583,0.117088,0.002195,0.159568,0.009539,0.105037,0.008128,0.093995,0.074068,0.120413,0.247211,0.116591,0.196535,0.488641
success_only_policy,human_preference_shift,9,80,0.447266,0.013698,0.439603,0.329233,0.015359,0.12054,0.002067,0.158431,0.00941,0.105372,0.008316,0.093361,0.074068,0.12064,0.246302,0.116519,0.196077,0.476927
success_only_policy,delayed_effects,0,80,0.442839,0.013521,0.435299,0.322964,0.016202,0.126851,0.002144,0.166396,0.00925,0.116829,0.009421,0.075215,0.075929,0.117273,0.244004,0.193093,0.130536,0.470547
success_only_policy,delayed_effects,1,80,0.442708,0.012887,0.434726,0.322298,0.015222,0.125201,0.002125,0.16728,0.009517,0.116814,0.009477,0.075825,0.075929,0.11798,0.244556,0.192327,0.130104,0.473753
success_only_policy,delayed_effects,2,80,0.439714,0.013189,0.433481,0.320509,0.015273,0.127208,0.002301,0.166338,0.009586,0.116783,0.009428,0.075849,0.075929,0.117978,0.244987,0.192835,0.130794,0.476359
success_only_policy,delayed_effects,3,80,0.42487,0.013699,0.435858,0.308636,0.015763,0.127056,0.002252,0.166415,0.009369,0.116149,0.00932,0.075932,0.075929,0.118574,0.245442,0.192797,0.13158,0.489256
success_only_policy,delayed_effects,4,80,0.4375,0.015567,0.436412,0.319122,0.017217,0.126756,0.002087,0.16553,0.009409,0.116553,0.009453,0.07586,0.075929,0.117708,0.245688,0.192848,0.13043,0.475009
success_only_policy,delayed_effects,5,80,0.423958,0.014439,0.434555,0.307458,0.015937,0.124959,0.002151,0.16737,0.009375,0.117305,0.009209,0.075343,0.075929,0.117016,0.245846,0.192132,0.13008,0.496356
success_only_policy,delayed_effects,6,80,0.43776,0.012057,0.435472,0.318716,0.014542,0.126477,0.002206,0.166842,0.009559,0.116433,0.009394,0.075599,0.075929,0.11773,0.244274,0.192698,0.130995,0.472783
success_only_policy,delayed_effects,7,80,0.446875,0.015573,0.436836,0.325756,0.016482,0.124252,0.00249,0.166611,0.009311,0.11646,0.009515,0.075847,0.075929,0.117339,0.2447,0.192263,0.131234,0.473682
success_only_policy,delayed_effects,8,80,0.43776,0.012877,0.435881,0.318986,0.014702,0.12691,0.002263,0.165533,0.009502,0.116989,0.009516,0.075836,0.075929,0.11829,0.244815,0.192802,0.131189,0.483785
success_only_policy,delayed_effects,9,80,0.441927,0.01284,0.436189,0.322352,0.014183,0.126246,0.001857,0.16619,0.009279,0.117025,0.009209,0.075025,0.075929,0.117137,0.245105,0.19295,0.130206,0.47337
success_only_policy,latent_damage_shift,0,80,0.422396,0.012706,0.424083,0.300734,0.015403,0.119923,0.001784,0.174347,0.009861,0.121789,0.009697,0.079656,0.077789,0.120094,0.241797,0.175536,0.141574,0.483648
success_only_policy,latent_damage_shift,1,80,0.427604,0.012887,0.425072,0.304421,0.01501,0.118411,0.002313,0.173686,0.009965,0.122241,0.009662,0.079864,0.077789,0.12144,0.242329,0.175546,0.142921,0.491293
success_only_policy,latent_damage_shift,2,80,0.425391,0.013062,0.42566,0.303494,0.015664,0.119629,0.002213,0.173622,0.009894,0.121949,0.009783,0.079676,0.077789,0.120117,0.242884,0.174355,0.141522,0.490129
success_only_policy,latent_damage_shift,3,80,0.430078,0.014374,0.425054,0.307384,0.016741,0.117775,0.002086,0.172348,0.010116,0.121724,0.009753,0.080176,0.077789,0.119794,0.243782,0.17487,0.141784,0.488737
success_only_policy,latent_damage_shift,4,80,0.420052,0.015667,0.424903,0.299245,0.017743,0.118807,0.002208,0.173568,0.010145,0.121253,0.009811,0.07978,0.077789,0.119989,0.242761,0.174213,0.141844,0.485339
success_only_policy,latent_damage_shift,5,80,0.425781,0.012822,0.426396,0.303886,0.015099,0.119745,0.002226,0.17337,0.010084,0.121824,0.010014,0.080467,0.077789,0.119764,0.242679,0.174752,0.141117,0.490453
success_only_policy,latent_damage_shift,6,80,0.430599,0.014717,0.426568,0.307653,0.016832,0.118975,0.002211,0.173039,0.009814,0.121731,0.009538,0.080099,0.077789,0.120158,0.243142,0.174946,0.142053,0.490988
success_only_policy,latent_damage_shift,7,80,0.427344,0.013428,0.423228,0.304133,0.015507,0.116632,0.002011,0.174186,0.009958,0.121357,0.009861,0.080071,0.077789,0.120641,0.242237,0.175247,0.142292,0.490761
success_only_policy,latent_damage_shift,8,80,0.41849,0.015835,0.425686,0.298272,0.017892,0.119975,0.002247,0.173148,0.010001,0.120882,0.009733,0.080427,0.077789,0.12032,0.243939,0.175375,0.142736,0.489971
success_only_policy,latent_damage_shift,9,80,0.42487,0.013244,0.425381,0.30305,0.015455,0.119675,0.002091,0.173894,0.009953,0.121416,0.009825,0.07952,0.077789,0.119699,0.242428,0.174781,0.142275,0.487186
success_only_policy,combined_stress,0,80,0.405599,0.015186,0.408399,0.270038,0.017893,0.106534,0.002016,0.188075,0.010996,0.126406,0.010241,0.095642,0.080889,0.129994,0.236759,0.183779,0.187623,0.507645
success_only_policy,combined_stress,1,80,0.417318,0.014633,0.407728,0.279498,0.01689,0.106488,0.002116,0.187785,0.010938,0.126292,0.01024,0.09512,0.080889,0.130237,0.236246,0.18436,0.186948,0.509103
success_only_policy,combined_stress,2,80,0.416406,0.014917,0.408345,0.278521,0.017537,0.106861,0.002319,0.18779,0.011316,0.126434,0.010132,0.094809,0.080889,0.130121,0.235031,0.18475,0.188405,0.507188
success_only_policy,combined_stress,3,80,0.408203,0.015006,0.408679,0.272237,0.01802,0.103579,0.002158,0.18703,0.011158,0.126831,0.010277,0.094186,0.080889,0.129197,0.237522,0.183051,0.187339,0.513107
success_only_policy,combined_stress,4,80,0.41263,0.011326,0.407254,0.276127,0.01413,0.106968,0.002285,0.187189,0.01137,0.126172,0.010074,0.094974,0.080889,0.13023,0.236436,0.184278,0.186679,0.502974
success_only_policy,combined_stress,5,80,0.406641,0.013017,0.407529,0.270973,0.015615,0.106107,0.002229,0.187401,0.011217,0.126129,0.010359,0.09424,0.080889,0.130348,0.236036,0.184664,0.187942,0.514802
success_only_policy,combined_stress,6,80,0.413411,0.013402,0.408539,0.275775,0.016242,0.103113,0.002074,0.18692,0.010943,0.12679,0.010356,0.095528,0.080889,0.130245,0.236884,0.184348,0.18838,0.505603
success_only_policy,combined_stress,7,80,0.401953,0.013038,0.409923,0.267889,0.015803,0.1058,0.002165,0.186885,0.011077,0.126174,0.010293,0.094391,0.080889,0.128973,0.238226,0.183568,0.187604,0.526133
success_only_policy,combined_stress,8,80,0.407813,0.014044,0.409383,0.272362,0.016772,0.105062,0.002393,0.186645,0.011282,0.125734,0.010203,0.095387,0.080889,0.129486,0.236632,0.182472,0.187592,0.515059
success_only_policy,combined_stress,9,80,0.406901,0.015423,0.408291,0.271079,0.017802,0.104296,0.002359,0.187479,0.011206,0.126312,0.010247,0.095059,0.080889,0.130141,0.238153,0.183925,0.187524,0.511229
generic_pairwise_preference_model,nominal,0,80,0.579557,0.012965,0.574116,0.533013,0.01173,0.287029,0.002052,0.089262,0.004841,0.065265,0.004332,0.065625,0.169394,0.079505,0.384251,0.060899,0.066478,0.322576
generic_pairwise_preference_model,nominal,1,80,0.592969,0.012028,0.573953,0.543165,0.010875,0.284293,0.002185,0.088978,0.004661,0.065539,0.004376,0.066013,0.169394,0.079017,0.384166,0.061247,0.067209,0.310664
generic_pairwise_preference_model,nominal,2,80,0.58151,0.010386,0.574862,0.534103,0.009507,0.28511,0.002145,0.089075,0.004823,0.065491,0.004411,0.065228,0.169394,0.078952,0.383579,0.061868,0.067157,0.322749
generic_pairwise_preference_model,nominal,3,80,0.578125,0.013019,0.574927,0.531579,0.011729,0.285613,0.001982,0.088968,0.004658,0.065397,0.004175,0.06635,0.169394,0.079371,0.384329,0.061097,0.066638,0.326477
generic_pairwise_preference_model,nominal,4,80,0.575,0.011436,0.573798,0.529045,0.011037,0.283265,0.002181,0.088847,0.004562,0.064801,0.004151,0.066663,0.169394,0.079182,0.385774,0.061411,0.065987,0.328658
generic_pairwise_preference_model,nominal,5,80,0.563021,0.011622,0.573801,0.51952,0.011091,0.284491,0.002344,0.088825,0.004715,0.064877,0.004291,0.066297,0.169394,0.079153,0.384111,0.060989,0.06635,0.334596
generic_pairwise_preference_model,nominal,6,80,0.571615,0.010856,0.574107,0.525922,0.010015,0.284905,0.002243,0.089085,0.004719,0.066501,0.004245,0.066321,0.169394,0.080255,0.384375,0.060671,0.065752,0.315601
generic_pairwise_preference_model,nominal,7,80,0.579427,0.014021,0.573741,0.532515,0.012476,0.284594,0.002027,0.089489,0.004908,0.065415,0.004238,0.065806,0.169394,0.079079,0.384686,0.060171,0.066408,0.324855
generic_pairwise_preference_model,nominal,8,80,0.568229,0.010968,0.57554,0.523836,0.010545,0.284437,0.002074,0.08799,0.004849,0.06521,0.004229,0.066293,0.169394,0.079051,0.385309,0.061517,0.067571,0.331087
generic_pairwise_preference_model,nominal,9,80,0.571224,0.011838,0.57518,0.526751,0.011036,0.288111,0.001905,0.088329,0.004847,0.06598,0.004273,0.065653,0.169394,0.078723,0.384295,0.060637,0.066802,0.323156
generic_pairwise_preference_model,seen_shift,0,80,0.54375,0.012108,0.541946,0.485959,0.011616,0.2695,0.002503,0.105747,0.005733,0.077491,0.005432,0.075697,0.177339,0.0875,0.377258,0.075273,0.084541,0.338049
generic_pairwise_preference_model,seen_shift,1,80,0.55026,0.011706,0.543299,0.492029,0.011495,0.272147,0.002446,0.10555,0.005827,0.076821,0.005263,0.075069,0.177339,0.087503,0.377208,0.07476,0.084266,0.346633
generic_pairwise_preference_model,seen_shift,2,80,0.552865,0.012039,0.541979,0.493462,0.011594,0.269667,0.002226,0.106541,0.005827,0.076601,0.005359,0.075371,0.177339,0.087096,0.377932,0.075106,0.084508,0.340345
generic_pairwise_preference_model,seen_shift,3,80,0.545964,0.011688,0.542823,0.488603,0.01123,0.269259,0.002372,0.105187,0.005841,0.076671,0.00552,0.074866,0.177339,0.086885,0.379285,0.074427,0.084207,0.34041
generic_pairwise_preference_model,seen_shift,4,80,0.545703,0.013143,0.543514,0.487835,0.012817,0.268929,0.002273,0.106199,0.005849,0.076808,0.005544,0.074398,0.177339,0.087298,0.378583,0.074728,0.084488,0.343012
generic_pairwise_preference_model,seen_shift,5,80,0.534375,0.012915,0.543122,0.479581,0.012604,0.27257,0.002136,0.104957,0.005781,0.076881,0.005401,0.074854,0.177339,0.086903,0.377669,0.075708,0.084902,0.355756
generic_pairwise_preference_model,seen_shift,6,80,0.538542,0.012589,0.543256,0.48171,0.012174,0.268746,0.002305,0.105121,0.005672,0.077568,0.005279,0.076762,0.177339,0.087599,0.378078,0.075869,0.084896,0.352193
generic_pairwise_preference_model,seen_shift,7,80,0.545312,0.012008,0.542689,0.48726,0.011642,0.269458,0.001993,0.106322,0.005882,0.077076,0.005541,0.075415,0.177339,0.087468,0.377166,0.075145,0.083611,0.34584
generic_pairwise_preference_model,seen_shift,8,80,0.543099,0.011901,0.543012,0.485534,0.011422,0.267972,0.002244,0.105206,0.00579,0.076978,0.005493,0.075556,0.177339,0.088006,0.377733,0.07535,0.083722,0.34969
generic_pairwise_preference_model,seen_shift,9,80,0.545052,0.0127,0.543398,0.487254,0.012188,0.268715,0.002236,0.10538,0.005914,0.07699,0.005419,0.075266,0.177339,0.087279,0.377801,0.075305,0.084409,0.346721
generic_pairwise_preference_model,unseen_object,0,80,0.517708,0.013799,0.522319,0.451626,0.013405,0.262081,0.002429,0.12583,0.007496,0.082788,0.005996,0.08111,0.18266,0.093735,0.371823,0.083911,0.096107,0.36852
generic_pairwise_preference_model,unseen_object,1,80,0.520312,0.011334,0.52325,0.452937,0.011485,0.262196,0.002539,0.127749,0.007316,0.083295,0.005887,0.081709,0.18266,0.093535,0.372323,0.084573,0.096411,0.365781
generic_pairwise_preference_model,unseen_object,2,80,0.527344,0.013102,0.522609,0.45943,0.012927,0.262777,0.002148,0.126093,0.007572,0.08258,0.005821,0.081605,0.18266,0.093049,0.37196,0.084903,0.095902,0.357286
generic_pairwise_preference_model,unseen_object,3,80,0.519271,0.012723,0.523249,0.453101,0.012986,0.264496,0.002254,0.126851,0.007445,0.082488,0.006007,0.081614,0.18266,0.093346,0.371623,0.084735,0.094996,0.369356
generic_pairwise_preference_model,unseen_object,4,80,0.522917,0.012086,0.522623,0.455743,0.012189,0.262088,0.002137,0.125969,0.007495,0.082171,0.005892,0.081723,0.18266,0.093853,0.371617,0.084728,0.096032,0.365524
generic_pairwise_preference_model,unseen_object,5,80,0.517969,0.011588,0.521986,0.451285,0.011382,0.263029,0.002101,0.126502,0.007507,0.083175,0.005922,0.081772,0.18266,0.093393,0.369501,0.084013,0.097158,0.367242
generic_pairwise_preference_model,unseen_object,6,80,0.511068,0.013152,0.523569,0.445959,0.012968,0.262004,0.002246,0.126646,0.007677,0.082984,0.005724,0.081854,0.18266,0.093252,0.371621,0.084085,0.095962,0.373451
generic_pairwise_preference_model,unseen_object,7,80,0.521484,0.011024,0.524266,0.45469,0.010884,0.260008,0.002672,0.12505,0.007313,0.082357,0.005909,0.080944,0.18266,0.093096,0.371397,0.084577,0.095368,0.367518
generic_pairwise_preference_model,unseen_object,8,80,0.518229,0.012792,0.522444,0.451861,0.012667,0.26315,0.002221,0.126648,0.007548,0.082374,0.005888,0.081417,0.18266,0.094339,0.370444,0.084012,0.095542,0.366106
generic_pairwise_preference_model,unseen_object,9,80,0.528906,0.011588,0.521651,0.460752,0.011653,0.264276,0.002397,0.126693,0.007613,0.08225,0.005861,0.081381,0.18266,0.09392,0.372137,0.084499,0.09654,0.359468
generic_pairwise_preference_model,unseen_side_effect,0,80,0.508984,0.012543,0.504105,0.43251,0.013479,0.238167,0.002278,0.126059,0.007156,0.100363,0.008012,0.084963,0.186524,0.096989,0.368607,0.093384,0.101569,0.370669
generic_pairwise_preference_model,unseen_side_effect,1,80,0.501432,0.012591,0.503887,0.426443,0.013816,0.239393,0.002233,0.12579,0.00694,0.101269,0.007892,0.084541,0.186524,0.097471,0.367678,0.093308,0.10124,0.383797
generic_pairwise_preference_model,unseen_side_effect,2,80,0.501693,0.012652,0.50339,0.425883,0.012009,0.23776,0.002125,0.127185,0.007252,0.100546,0.007919,0.085266,0.186524,0.09803,0.367443,0.093262,0.101697,0.377967
generic_pairwise_preference_model,unseen_side_effect,3,80,0.503646,0.01333,0.503256,0.427668,0.013869,0.238145,0.002231,0.12653,0.007309,0.100704,0.007835,0.085032,0.186524,0.097534,0.366763,0.093263,0.101932,0.376668
generic_pairwise_preference_model,unseen_side_effect,4,80,0.50026,0.013295,0.502925,0.425698,0.013477,0.241848,0.002442,0.126066,0.007157,0.100669,0.007749,0.084997,0.186524,0.097615,0.366215,0.093941,0.101584,0.374001
generic_pairwise_preference_model,unseen_side_effect,5,80,0.497135,0.012691,0.504117,0.422908,0.013827,0.239338,0.002409,0.125933,0.00731,0.101213,0.007869,0.08414,0.186524,0.097484,0.367765,0.094091,0.101625,0.37932
generic_pairwise_preference_model,unseen_side_effect,6,80,0.498568,0.011258,0.502466,0.424328,0.012244,0.240857,0.002157,0.126066,0.007491,0.100625,0.007668,0.08494,0.186524,0.09705,0.367237,0.09354,0.102473,0.372462
generic_pairwise_preference_model,unseen_side_effect,7,80,0.512109,0.013012,0.503855,0.43463,0.013671,0.238834,0.002169,0.126996,0.007282,0.09991,0.007701,0.084522,0.186524,0.097954,0.367132,0.093882,0.101781,0.372506
generic_pairwise_preference_model,unseen_side_effect,8,80,0.502214,0.012517,0.503025,0.427371,0.013663,0.239915,0.001988,0.125858,0.007132,0.099853,0.007916,0.085729,0.186524,0.097498,0.367877,0.094051,0.101,0.372661
generic_pairwise_preference_model,unseen_side_effect,9,80,0.499349,0.011692,0.503992,0.425404,0.012555,0.241831,0.002171,0.125652,0.007463,0.101038,0.007815,0.084837,0.186524,0.097055,0.367996,0.093241,0.10124,0.376647
generic_pairwise_preference_model,human_preference_shift,0,80,0.499089,0.012129,0.497922,0.415328,0.012593,0.239305,0.002087,0.127029,0.007524,0.090344,0.006782,0.10641,0.189852,0.107882,0.365821,0.100218,0.169536,0.391091
generic_pairwise_preference_model,human_preference_shift,1,80,0.494271,0.011996,0.497258,0.411517,0.012773,0.238913,0.001941,0.127369,0.00758,0.090464,0.006708,0.105213,0.189852,0.107728,0.367199,0.100751,0.169654,0.387079
generic_pairwise_preference_model,human_preference_shift,2,80,0.491536,0.012928,0.497794,0.40966,0.012922,0.238969,0.002255,0.126814,0.007323,0.090171,0.006749,0.105191,0.189852,0.106603,0.366894,0.101528,0.169506,0.389844
generic_pairwise_preference_model,human_preference_shift,3,80,0.501953,0.012456,0.498064,0.416812,0.012913,0.237089,0.002128,0.127883,0.007461,0.091,0.006813,0.105568,0.189852,0.108188,0.366597,0.100475,0.170275,0.379077
