budget,method,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,true_risk,estimated_risk,coverage,risk_breach,deploy_utility,deploy_utility_ci95,regret_to_oracle
0.07,success_only_policy,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.264655,0.305521,0.0,0.0,0.077547,0.000564,0.511284
0.07,generic_pairwise_preference_model,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.219793,0.249814,0.0,0.0,0.088714,0.00047,0.415443
0.07,reward_model_rlhf_surrogate,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.209201,0.236526,0.0,0.0,0.09244,0.000446,0.383677
0.07,uncertainty_query_preference_learner,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.181392,0.201194,0.0,0.0,0.097118,0.0004,0.34774
0.07,constraint_aware_planner,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.161388,0.176526,0.0,0.0,0.098638,0.000342,0.324131
0.07,failure_prediction_shield,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.171372,0.187258,0.0,0.0,0.096923,0.00036,0.333778
0.07,side_effect_classifier_baseline,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.148841,0.162235,0.0,0.0,0.104378,0.00032,0.28285
0.07,inverse_reward_design_baseline,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.159635,0.176097,0.0,0.0,0.106677,0.000346,0.295199
0.07,conservative_safety_filter,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.137648,0.146608,0.0,0.0,0.101502,0.00028,0.291635
0.07,preference_transformer_no_side_effects,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.169835,0.187041,0.0,0.0,0.107574,0.000384,0.303509
