stress_level,method,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
0.0,reward_model_rlhf_surrogate,0,80,0.605078,0.009318,0.601719,0.562281,0.008831,0.310623,0.002198,0.084296,0.004426,0.064354,0.004204,0.067783,0.176361,0.078522,0.414307,0.061956,0.067675,0.295311
0.0,reward_model_rlhf_surrogate,1,80,0.596354,0.012206,0.602423,0.555714,0.0111,0.309753,0.001903,0.083428,0.004271,0.064549,0.004191,0.067249,0.176361,0.07807,0.415375,0.06109,0.067387,0.298234
0.0,reward_model_rlhf_surrogate,2,80,0.594271,0.010019,0.602773,0.553737,0.009323,0.309575,0.001898,0.083107,0.004408,0.064485,0.004153,0.067856,0.176361,0.078405,0.414474,0.062082,0.06823,0.303978
0.0,reward_model_rlhf_surrogate,3,80,0.609115,0.012513,0.601143,0.565681,0.011423,0.309827,0.002395,0.08426,0.004477,0.064866,0.004245,0.066049,0.176361,0.078455,0.415904,0.061423,0.067567,0.292872
0.0,reward_model_rlhf_surrogate,4,80,0.607552,0.012596,0.60271,0.564129,0.011538,0.307884,0.002308,0.083359,0.004437,0.064273,0.004351,0.068234,0.176361,0.078255,0.415301,0.061634,0.068431,0.292001
0.0,reward_model_rlhf_surrogate,5,80,0.603125,0.01102,0.604354,0.561638,0.009818,0.311898,0.002109,0.083482,0.004283,0.063819,0.004052,0.068186,0.176361,0.077565,0.416179,0.061513,0.068359,0.304474
0.0,reward_model_rlhf_surrogate,6,80,0.608724,0.011479,0.602664,0.565163,0.010378,0.308009,0.002232,0.084511,0.004312,0.06376,0.00415,0.066634,0.176361,0.078061,0.415838,0.062517,0.06729,0.292683
0.0,reward_model_rlhf_surrogate,7,80,0.609505,0.012209,0.603594,0.565763,0.010395,0.308059,0.002174,0.084193,0.004151,0.063768,0.004114,0.06672,0.176361,0.077656,0.414758,0.061925,0.068317,0.301938
0.0,reward_model_rlhf_surrogate,8,80,0.59362,0.01071,0.603305,0.553314,0.009504,0.310401,0.002264,0.083711,0.004352,0.064099,0.004184,0.06826,0.176361,0.078451,0.414916,0.06227,0.067808,0.307327
0.0,reward_model_rlhf_surrogate,9,80,0.592187,0.011394,0.602806,0.551948,0.010002,0.308977,0.002196,0.083591,0.004373,0.064098,0.004244,0.068012,0.176361,0.078223,0.41441,0.061889,0.068065,0.311934
