ablation,task,regime,seed,episodes,success,success_probability,utility,side_effect_recall,side_effect_violation,damage_rate,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
full_causal_side_effect_model,table_clearing,human_workspace_disruption,4,96,0.677083,0.650117,0.726488,0.581545,0.033697,0.041207,0.078071,0.210584,0.063749,0.719532,0.049592,0.079193
full_causal_side_effect_model,table_clearing,human_workspace_disruption,5,96,0.572917,0.643058,0.633915,0.572365,0.045724,0.044349,0.079942,0.210584,0.06766,0.707914,0.052117,0.085259
full_causal_side_effect_model,table_clearing,human_workspace_disruption,6,96,0.552083,0.639688,0.626088,0.585766,0.036435,0.037409,0.07752,0.210584,0.064168,0.712065,0.054522,0.07916
full_causal_side_effect_model,table_clearing,human_workspace_disruption,7,96,0.666667,0.648356,0.720187,0.579216,0.030658,0.039018,0.08,0.210584,0.06178,0.728983,0.0438,0.08711
full_causal_side_effect_model,table_clearing,human_workspace_disruption,8,96,0.614583,0.646049,0.68031,0.593012,0.026488,0.036154,0.080679,0.210584,0.060899,0.710856,0.060473,0.079028
full_causal_side_effect_model,table_clearing,human_workspace_disruption,9,96,0.614583,0.638576,0.678259,0.597096,0.035441,0.038194,0.077516,0.210584,0.072098,0.72189,0.05192,0.082294
full_causal_side_effect_model,table_clearing,latent_material_damage,0,96,0.645833,0.642539,0.699655,0.581398,0.040601,0.044988,0.073964,0.21111,0.05613,0.723817,0.05422,0.081488
full_causal_side_effect_model,table_clearing,latent_material_damage,1,96,0.604167,0.644732,0.662755,0.589455,0.037003,0.049706,0.076268,0.21111,0.069407,0.705841,0.059786,0.082853
full_causal_side_effect_model,table_clearing,latent_material_damage,2,96,0.572917,0.638138,0.637512,0.596623,0.044671,0.044136,0.084182,0.21111,0.071347,0.702716,0.056426,0.077739
full_causal_side_effect_model,table_clearing,latent_material_damage,3,96,0.625,0.662811,0.681702,0.592851,0.037869,0.049096,0.076334,0.21111,0.060498,0.708163,0.061203,0.079357
full_causal_side_effect_model,table_clearing,latent_material_damage,4,96,0.583333,0.624686,0.648395,0.581828,0.027094,0.046603,0.089178,0.21111,0.064805,0.706171,0.062317,0.075716
full_causal_side_effect_model,table_clearing,latent_material_damage,5,96,0.604167,0.640875,0.662511,0.599256,0.043122,0.049619,0.076699,0.21111,0.072537,0.710363,0.061996,0.083226
full_causal_side_effect_model,table_clearing,latent_material_damage,6,96,0.604167,0.656074,0.663884,0.578229,0.037607,0.050744,0.073713,0.21111,0.060373,0.718658,0.057278,0.07932
full_causal_side_effect_model,table_clearing,latent_material_damage,7,96,0.635417,0.631471,0.69529,0.595524,0.027353,0.04964,0.063914,0.21111,0.062887,0.719613,0.060023,0.087365
full_causal_side_effect_model,table_clearing,latent_material_damage,8,96,0.635417,0.647628,0.688457,0.579098,0.037109,0.044846,0.078773,0.21111,0.068857,0.716369,0.058906,0.080805
full_causal_side_effect_model,table_clearing,latent_material_damage,9,96,0.677083,0.650678,0.726296,0.591327,0.035088,0.04081,0.071553,0.21111,0.063825,0.711986,0.06246,0.081593
full_causal_side_effect_model,drawer_retrieval,nominal,0,96,0.635417,0.650518,0.704803,0.587661,0.018078,0.02581,0.079188,0.201109,0.058227,0.721822,0.054781,0.076137
full_causal_side_effect_model,drawer_retrieval,nominal,1,96,0.708333,0.654417,0.767372,0.58408,0.008645,0.024173,0.07477,0.201109,0.050752,0.714824,0.040257,0.080663
full_causal_side_effect_model,drawer_retrieval,nominal,2,96,0.645833,0.654707,0.710207,0.580021,0.019551,0.026003,0.078027,0.201109,0.069725,0.721459,0.043334,0.080974
full_causal_side_effect_model,drawer_retrieval,nominal,3,96,0.604167,0.652204,0.679812,0.592119,0.023715,0.032191,0.076013,0.201109,0.05122,0.725366,0.046021,0.075328
full_causal_side_effect_model,drawer_retrieval,nominal,4,96,0.635417,0.669654,0.710196,0.595636,0.013657,0.018746,0.07876,0.201109,0.054509,0.71723,0.047714,0.075967
full_causal_side_effect_model,drawer_retrieval,nominal,5,96,0.614583,0.652033,0.688297,0.597716,0.021706,0.027879,0.076014,0.201109,0.05812,0.720112,0.052497,0.079893
full_causal_side_effect_model,drawer_retrieval,nominal,6,96,0.645833,0.655604,0.712846,0.592601,0.016228,0.030798,0.077454,0.201109,0.061316,0.719287,0.05289,0.076786
full_causal_side_effect_model,drawer_retrieval,nominal,7,96,0.666667,0.660432,0.734805,0.593808,0.013782,0.018483,0.080573,0.201109,0.060044,0.724487,0.049981,0.073708
full_causal_side_effect_model,drawer_retrieval,nominal,8,96,0.53125,0.656817,0.625283,0.590813,0.014788,0.02438,0.077079,0.201109,0.05363,0.729811,0.0547,0.076225
full_causal_side_effect_model,drawer_retrieval,nominal,9,96,0.677083,0.65141,0.734736,0.581189,0.023765,0.026637,0.079267,0.201109,0.059394,0.715815,0.050958,0.07284
full_causal_side_effect_model,drawer_retrieval,force_damage,0,96,0.520833,0.654923,0.606769,0.590077,0.025448,0.035485,0.077172,0.209531,0.064937,0.725185,0.063395,0.077423
full_causal_side_effect_model,drawer_retrieval,force_damage,1,96,0.708333,0.649009,0.752856,0.611275,0.030324,0.049761,0.082315,0.209531,0.065412,0.708942,0.054466,0.085291
full_causal_side_effect_model,drawer_retrieval,force_damage,2,96,0.583333,0.636511,0.655409,0.605219,0.030078,0.043743,0.073561,0.209531,0.064916,0.71215,0.051107,0.08204
full_causal_side_effect_model,drawer_retrieval,force_damage,3,96,0.552083,0.633551,0.629171,0.57424,0.021783,0.037937,0.075581,0.209531,0.061639,0.71506,0.057687,0.078311
full_causal_side_effect_model,drawer_retrieval,force_damage,4,96,0.583333,0.63716,0.653936,0.585022,0.025324,0.045392,0.075683,0.209531,0.064602,0.722867,0.052874,0.079261
full_causal_side_effect_model,drawer_retrieval,force_damage,5,96,0.666667,0.642988,0.7162,0.571802,0.022331,0.047556,0.078217,0.209531,0.064889,0.707446,0.055787,0.078175
full_causal_side_effect_model,drawer_retrieval,force_damage,6,96,0.59375,0.633755,0.656012,0.590534,0.037847,0.048058,0.080673,0.209531,0.068495,0.71762,0.060343,0.082354
full_causal_side_effect_model,drawer_retrieval,force_damage,7,96,0.6875,0.634821,0.731339,0.581771,0.029951,0.052117,0.076276,0.209531,0.071667,0.712271,0.048662,0.080799
full_causal_side_effect_model,drawer_retrieval,force_damage,8,96,0.604167,0.641154,0.668604,0.587208,0.027691,0.047498,0.079385,0.209531,0.062937,0.720005,0.062432,0.076813
full_causal_side_effect_model,drawer_retrieval,force_damage,9,96,0.6875,0.642461,0.731843,0.575226,0.033277,0.048902,0.07092,0.209531,0.061729,0.719,0.058343,0.080967
full_causal_side_effect_model,drawer_retrieval,object_displacement,0,96,0.6875,0.647061,0.743533,0.595074,0.021337,0.032211,0.077541,0.209005,0.062972,0.724645,0.053391,0.084997
full_causal_side_effect_model,drawer_retrieval,object_displacement,1,96,0.677083,0.639788,0.726418,0.577317,0.035732,0.037316,0.074116,0.209005,0.063432,0.717877,0.052259,0.077648
full_causal_side_effect_model,drawer_retrieval,object_displacement,2,96,0.645833,0.635864,0.70577,0.594903,0.031105,0.038247,0.073845,0.209005,0.060369,0.720597,0.059256,0.080141
full_causal_side_effect_model,drawer_retrieval,object_displacement,3,96,0.572917,0.646128,0.651601,0.58402,0.025351,0.030514,0.073843,0.209005,0.052776,0.725164,0.048856,0.082313
full_causal_side_effect_model,drawer_retrieval,object_displacement,4,96,0.614583,0.644021,0.678538,0.58492,0.029028,0.035941,0.075308,0.209005,0.062996,0.710374,0.062309,0.076253
full_causal_side_effect_model,drawer_retrieval,object_displacement,5,96,0.666667,0.636818,0.727088,0.588176,0.02157,0.029999,0.084707,0.209005,0.059545,0.724784,0.045628,0.079647
full_causal_side_effect_model,drawer_retrieval,object_displacement,6,96,0.635417,0.64226,0.698949,0.582936,0.023402,0.035788,0.078094,0.209005,0.058389,0.719195,0.051411,0.076999
full_causal_side_effect_model,drawer_retrieval,object_displacement,7,96,0.604167,0.652672,0.67696,0.603812,0.027218,0.026566,0.077336,0.209005,0.062804,0.717554,0.055462,0.087028
full_causal_side_effect_model,drawer_retrieval,object_displacement,8,96,0.677083,0.644719,0.732579,0.592387,0.028991,0.028477,0.0784,0.209005,0.064016,0.712008,0.056136,0.07238
full_causal_side_effect_model,drawer_retrieval,object_displacement,9,96,0.604167,0.636861,0.672967,0.580447,0.030881,0.030425,0.072197,0.209005,0.056882,0.724519,0.055607,0.084189
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,0,96,0.645833,0.636697,0.707955,0.589523,0.022558,0.032755,0.076786,0.209794,0.066688,0.72143,0.052272,0.083932
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,1,96,0.583333,0.641451,0.648847,0.579779,0.039092,0.042571,0.080639,0.209794,0.060838,0.720957,0.05336,0.082433
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,2,96,0.59375,0.634966,0.659666,0.583108,0.035305,0.034684,0.07922,0.209794,0.066849,0.716495,0.05555,0.081999
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,3,96,0.65625,0.639942,0.716005,0.589772,0.020133,0.032696,0.08017,0.209794,0.064379,0.719943,0.060788,0.085174
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,4,96,0.666667,0.631407,0.723599,0.595094,0.024442,0.033924,0.077828,0.209794,0.071685,0.716502,0.051031,0.08254
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,5,96,0.6875,0.645242,0.737922,0.572563,0.025319,0.038463,0.07261,0.209794,0.058334,0.720587,0.04675,0.082739
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,6,96,0.666667,0.6566,0.721677,0.58918,0.028063,0.03982,0.084278,0.209794,0.065301,0.731434,0.05681,0.07898
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,7,96,0.65625,0.653109,0.711451,0.592262,0.035668,0.036073,0.079816,0.209794,0.06225,0.723358,0.058412,0.087841
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,8,96,0.604167,0.629351,0.673963,0.590067,0.02545,0.036647,0.071272,0.209794,0.067391,0.727593,0.05366,0.08318
full_causal_side_effect_model,drawer_retrieval,clutter_accumulation,9,96,0.625,0.635153,0.683544,0.577168,0.023915,0.042475,0.08404,0.209794,0.067449,0.708241,0.051767,0.084479
full_causal_side_effect_model,drawer_retrieval,unstable_placement,0,96,0.53125,0.654475,0.606876,0.585953,0.039471,0.040168,0.082938,0.210058,0.070984,0.711883,0.052305,0.075097
full_causal_side_effect_model,drawer_retrieval,unstable_placement,1,96,0.625,0.63,0.690039,0.584018,0.023659,0.03527,0.078898,0.210058,0.070067,0.722633,0.050423,0.072024
full_causal_side_effect_model,drawer_retrieval,unstable_placement,2,96,0.635417,0.641971,0.691064,0.582673,0.038027,0.035505,0.075657,0.210058,0.066358,0.709531,0.056251,0.08516
full_causal_side_effect_model,drawer_retrieval,unstable_placement,3,96,0.666667,0.635516,0.722013,0.587958,0.025236,0.045642,0.077141,0.210058,0.057027,0.717153,0.05148,0.073365
full_causal_side_effect_model,drawer_retrieval,unstable_placement,4,96,0.65625,0.645801,0.714072,0.599013,0.027098,0.039544,0.081272,0.210058,0.067961,0.722991,0.056452,0.082948
full_causal_side_effect_model,drawer_retrieval,unstable_placement,5,96,0.666667,0.636004,0.715845,0.582636,0.034602,0.042577,0.071939,0.210058,0.064166,0.710969,0.061823,0.082889
full_causal_side_effect_model,drawer_retrieval,unstable_placement,6,96,0.59375,0.635361,0.664228,0.599873,0.031294,0.040101,0.079781,0.210058,0.058426,0.714924,0.051301,0.078561
full_causal_side_effect_model,drawer_retrieval,unstable_placement,7,96,0.59375,0.642917,0.658432,0.589208,0.034725,0.045951,0.073172,0.210058,0.069159,0.712885,0.055022,0.07655
full_causal_side_effect_model,drawer_retrieval,unstable_placement,8,96,0.572917,0.624732,0.643936,0.596226,0.027429,0.042659,0.080002,0.210058,0.070112,0.710098,0.055132,0.087207
full_causal_side_effect_model,drawer_retrieval,unstable_placement,9,96,0.6875,0.641118,0.737788,0.599769,0.032378,0.037643,0.080207,0.210058,0.06911,0.721605,0.058562,0.081785
full_causal_side_effect_model,drawer_retrieval,irreversible_change,0,96,0.59375,0.637058,0.652264,0.585527,0.038478,0.055594,0.080154,0.210321,0.068042,0.712069,0.053693,0.088479
full_causal_side_effect_model,drawer_retrieval,irreversible_change,1,96,0.583333,0.623997,0.648333,0.572154,0.030712,0.047347,0.07498,0.210321,0.065473,0.714065,0.048911,0.08142
full_causal_side_effect_model,drawer_retrieval,irreversible_change,2,96,0.677083,0.626666,0.727422,0.586595,0.028777,0.044351,0.069565,0.210321,0.061822,0.713566,0.062333,0.07938
full_causal_side_effect_model,drawer_retrieval,irreversible_change,3,96,0.635417,0.629494,0.688888,0.575396,0.034509,0.046895,0.071083,0.210321,0.067226,0.718429,0.063841,0.081367
full_causal_side_effect_model,drawer_retrieval,irreversible_change,4,96,0.645833,0.640037,0.695985,0.571284,0.040751,0.039143,0.07305,0.210321,0.065009,0.705336,0.056211,0.079553
full_causal_side_effect_model,drawer_retrieval,irreversible_change,5,96,0.666667,0.635624,0.71398,0.586905,0.037337,0.049436,0.076956,0.210321,0.06719,0.7148,0.058508,0.080565
full_causal_side_effect_model,drawer_retrieval,irreversible_change,6,96,0.59375,0.64435,0.656696,0.586478,0.035391,0.056093,0.072228,0.210321,0.062356,0.723283,0.055606,0.082301
full_causal_side_effect_model,drawer_retrieval,irreversible_change,7,96,0.541667,0.642901,0.617823,0.571019,0.024288,0.041313,0.081252,0.210321,0.063679,0.721901,0.056864,0.085207
full_causal_side_effect_model,drawer_retrieval,irreversible_change,8,96,0.541667,0.637264,0.6129,0.591172,0.035514,0.046399,0.077207,0.210321,0.074115,0.70017,0.061167,0.08292
full_causal_side_effect_model,drawer_retrieval,irreversible_change,9,96,0.635417,0.632505,0.689002,0.590257,0.03938,0.048745,0.077701,0.210321,0.072408,0.723034,0.059699,0.082671
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,0,96,0.614583,0.634672,0.677393,0.586796,0.034601,0.042586,0.069282,0.210584,0.064385,0.724017,0.053714,0.083391
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,1,96,0.635417,0.645744,0.691354,0.576493,0.03669,0.038847,0.071986,0.210584,0.06346,0.722707,0.054171,0.091318
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,2,96,0.65625,0.636465,0.70527,0.58777,0.045953,0.032723,0.075495,0.210584,0.071411,0.704211,0.060079,0.084709
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,3,96,0.59375,0.626347,0.658631,0.604945,0.037544,0.046464,0.081177,0.210584,0.067737,0.711958,0.055741,0.084983
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,4,96,0.604167,0.62599,0.666419,0.592496,0.035469,0.047542,0.071161,0.210584,0.070965,0.710428,0.049364,0.080811
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,5,96,0.645833,0.637068,0.699844,0.579845,0.036465,0.035506,0.07977,0.210584,0.063185,0.714572,0.058867,0.083737
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,6,96,0.583333,0.637407,0.653467,0.596695,0.032475,0.03721,0.074101,0.210584,0.066289,0.711381,0.052971,0.089543
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,7,96,0.645833,0.634829,0.70131,0.596779,0.035298,0.047141,0.086036,0.210584,0.061219,0.71853,0.052579,0.079798
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,8,96,0.645833,0.630302,0.698483,0.580685,0.035288,0.04311,0.070864,0.210584,0.069087,0.715066,0.054255,0.088112
full_causal_side_effect_model,drawer_retrieval,human_workspace_disruption,9,96,0.625,0.629293,0.681093,0.588214,0.037072,0.046221,0.082755,0.210584,0.069001,0.714679,0.048508,0.087832
full_causal_side_effect_model,drawer_retrieval,latent_material_damage,0,96,0.53125,0.627691,0.601732,0.577377,0.038909,0.053735,0.079327,0.21111,0.067552,0.715523,0.058792,0.082757
full_causal_side_effect_model,drawer_retrieval,latent_material_damage,1,96,0.65625,0.629593,0.707969,0.605808,0.033857,0.053979,0.071047,0.21111,0.072272,0.705836,0.057399,0.079617
full_causal_side_effect_model,drawer_retrieval,latent_material_damage,2,96,0.552083,0.632396,0.623248,0.58721,0.026215,0.053828,0.077175,0.21111,0.070791,0.712202,0.063152,0.081308
