ablation,task,regime,seed,episodes,success,success_probability,utility,side_effect_recall,side_effect_violation,damage_rate,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
full_causal_side_effect_model,table_clearing,nominal,0,96,0.697917,0.662145,0.747545,0.566912,0.020075,0.032202,0.082995,0.201109,0.055613,0.714308,0.046266,0.085564
full_causal_side_effect_model,table_clearing,nominal,1,96,0.65625,0.654617,0.721621,0.581118,0.016414,0.020629,0.079654,0.201109,0.062534,0.724161,0.054267,0.078077
full_causal_side_effect_model,table_clearing,nominal,2,96,0.697917,0.661454,0.75323,0.584219,0.016355,0.024508,0.08265,0.201109,0.063356,0.714397,0.050476,0.078337
full_causal_side_effect_model,table_clearing,nominal,3,96,0.625,0.651,0.697013,0.573918,0.018231,0.020422,0.071203,0.201109,0.059222,0.729263,0.049006,0.080181
full_causal_side_effect_model,table_clearing,nominal,4,96,0.677083,0.669528,0.734281,0.567561,0.01512,0.024932,0.078002,0.201109,0.065162,0.719669,0.053442,0.079023
full_causal_side_effect_model,table_clearing,nominal,5,96,0.604167,0.665347,0.681966,0.591637,0.016118,0.020071,0.079505,0.201109,0.056881,0.714748,0.041602,0.088098
full_causal_side_effect_model,table_clearing,nominal,6,96,0.625,0.661597,0.6974,0.555465,0.005739,0.018748,0.0829,0.201109,0.053671,0.726301,0.045064,0.080924
full_causal_side_effect_model,table_clearing,nominal,7,96,0.65625,0.66673,0.721824,0.574156,0.010506,0.025698,0.080112,0.201109,0.058504,0.721854,0.050622,0.073794
full_causal_side_effect_model,table_clearing,nominal,8,96,0.739583,0.674195,0.786439,0.577774,0.018997,0.027631,0.078478,0.201109,0.056343,0.730762,0.05082,0.084854
full_causal_side_effect_model,table_clearing,nominal,9,96,0.6875,0.671036,0.748316,0.595246,0.022102,0.027382,0.071245,0.201109,0.053328,0.719528,0.044851,0.076546
full_causal_side_effect_model,table_clearing,force_damage,0,96,0.6875,0.653139,0.734698,0.581691,0.031763,0.04247,0.073379,0.209531,0.06894,0.719082,0.055129,0.076285
full_causal_side_effect_model,table_clearing,force_damage,1,96,0.645833,0.645258,0.702798,0.575983,0.024682,0.042842,0.081074,0.209531,0.063902,0.715103,0.052075,0.069401
full_causal_side_effect_model,table_clearing,force_damage,2,96,0.614583,0.649511,0.680923,0.608603,0.029733,0.041039,0.073786,0.209531,0.062178,0.700414,0.05351,0.078802
full_causal_side_effect_model,table_clearing,force_damage,3,96,0.614583,0.643259,0.680937,0.597745,0.031789,0.042709,0.0774,0.209531,0.058137,0.720523,0.048546,0.078318
full_causal_side_effect_model,table_clearing,force_damage,4,96,0.708333,0.647409,0.755247,0.592879,0.030969,0.03851,0.073191,0.209531,0.062421,0.709236,0.053562,0.070155
full_causal_side_effect_model,table_clearing,force_damage,5,96,0.552083,0.653122,0.62738,0.586329,0.029193,0.04093,0.079783,0.209531,0.067003,0.723045,0.062011,0.081345
full_causal_side_effect_model,table_clearing,force_damage,6,96,0.645833,0.663914,0.703909,0.594439,0.023553,0.046103,0.074749,0.209531,0.064135,0.704946,0.056243,0.077666
full_causal_side_effect_model,table_clearing,force_damage,7,96,0.604167,0.642859,0.670512,0.595624,0.032551,0.045972,0.069961,0.209531,0.060683,0.715582,0.052653,0.078871
full_causal_side_effect_model,table_clearing,force_damage,8,96,0.614583,0.655414,0.684846,0.593935,0.019919,0.037773,0.074724,0.209531,0.055956,0.722957,0.059415,0.081101
full_causal_side_effect_model,table_clearing,force_damage,9,96,0.614583,0.638165,0.677567,0.592435,0.033988,0.04792,0.073216,0.209531,0.05903,0.71689,0.059089,0.070842
full_causal_side_effect_model,table_clearing,object_displacement,0,96,0.65625,0.654549,0.710676,0.597215,0.039666,0.033569,0.083478,0.209005,0.069423,0.709888,0.049259,0.077723
full_causal_side_effect_model,table_clearing,object_displacement,1,96,0.708333,0.649327,0.749774,0.581061,0.041035,0.035659,0.073548,0.209005,0.072051,0.716526,0.052304,0.075665
full_causal_side_effect_model,table_clearing,object_displacement,2,96,0.739583,0.646742,0.778659,0.575649,0.02961,0.030903,0.075675,0.209005,0.063396,0.716474,0.054074,0.083222
full_causal_side_effect_model,table_clearing,object_displacement,3,96,0.645833,0.653023,0.707574,0.602712,0.028784,0.035632,0.074029,0.209005,0.062615,0.710262,0.049251,0.083886
full_causal_side_effect_model,table_clearing,object_displacement,4,96,0.666667,0.650299,0.723017,0.573868,0.024465,0.030444,0.07632,0.209005,0.060617,0.721638,0.048424,0.08473
full_causal_side_effect_model,table_clearing,object_displacement,5,96,0.65625,0.662873,0.708472,0.570816,0.03345,0.03466,0.078211,0.209005,0.064263,0.70804,0.049913,0.077356
full_causal_side_effect_model,table_clearing,object_displacement,6,96,0.645833,0.658814,0.699995,0.585509,0.034516,0.038728,0.084118,0.209005,0.068124,0.719915,0.06493,0.080942
full_causal_side_effect_model,table_clearing,object_displacement,7,96,0.625,0.652504,0.692879,0.602015,0.027558,0.034893,0.079059,0.209005,0.063501,0.723132,0.045937,0.080525
full_causal_side_effect_model,table_clearing,object_displacement,8,96,0.614583,0.648423,0.680637,0.595396,0.038953,0.029108,0.0759,0.209005,0.063102,0.719164,0.051532,0.081465
full_causal_side_effect_model,table_clearing,object_displacement,9,96,0.645833,0.632341,0.704423,0.594613,0.033874,0.038543,0.074259,0.209005,0.057626,0.711279,0.054989,0.079825
full_causal_side_effect_model,table_clearing,clutter_accumulation,0,96,0.614583,0.639737,0.679559,0.602803,0.031448,0.039148,0.07385,0.209794,0.069319,0.708871,0.051346,0.083066
full_causal_side_effect_model,table_clearing,clutter_accumulation,1,96,0.625,0.638796,0.687574,0.600166,0.03609,0.036535,0.084123,0.209794,0.065621,0.716326,0.04732,0.080943
full_causal_side_effect_model,table_clearing,clutter_accumulation,2,96,0.666667,0.651389,0.719571,0.574252,0.027378,0.036775,0.072527,0.209794,0.066182,0.71574,0.048924,0.081969
full_causal_side_effect_model,table_clearing,clutter_accumulation,3,96,0.645833,0.650798,0.705058,0.595365,0.037598,0.036611,0.079404,0.209794,0.06199,0.724758,0.053492,0.073684
full_causal_side_effect_model,table_clearing,clutter_accumulation,4,96,0.6875,0.662242,0.734483,0.586204,0.038618,0.038662,0.081234,0.209794,0.067594,0.716424,0.0442,0.075704
full_causal_side_effect_model,table_clearing,clutter_accumulation,5,96,0.65625,0.641865,0.710475,0.582276,0.03703,0.036691,0.078448,0.209794,0.06258,0.721969,0.047698,0.082211
full_causal_side_effect_model,table_clearing,clutter_accumulation,6,96,0.697917,0.646633,0.74664,0.580427,0.025785,0.036242,0.081701,0.209794,0.062764,0.717786,0.047181,0.078295
full_causal_side_effect_model,table_clearing,clutter_accumulation,7,96,0.65625,0.659053,0.719492,0.601493,0.030299,0.030688,0.077252,0.209794,0.061727,0.731957,0.050988,0.075864
full_causal_side_effect_model,table_clearing,clutter_accumulation,8,96,0.65625,0.645379,0.711343,0.585175,0.03523,0.03776,0.082379,0.209794,0.060541,0.714983,0.045333,0.074155
full_causal_side_effect_model,table_clearing,clutter_accumulation,9,96,0.645833,0.662121,0.704018,0.589703,0.0303,0.037382,0.075123,0.209794,0.066251,0.715133,0.052357,0.082104
full_causal_side_effect_model,table_clearing,unstable_placement,0,96,0.666667,0.656144,0.723035,0.601588,0.032179,0.042593,0.076697,0.210058,0.064596,0.728556,0.052362,0.077532
full_causal_side_effect_model,table_clearing,unstable_placement,1,96,0.625,0.642353,0.688391,0.598261,0.027982,0.040868,0.072527,0.210058,0.060394,0.709345,0.052297,0.089415
full_causal_side_effect_model,table_clearing,unstable_placement,2,96,0.625,0.655093,0.68707,0.589467,0.036477,0.035984,0.073005,0.210058,0.0686,0.726481,0.054742,0.07917
full_causal_side_effect_model,table_clearing,unstable_placement,3,96,0.6875,0.637781,0.737923,0.607048,0.038294,0.038828,0.080547,0.210058,0.064711,0.711403,0.052186,0.071802
full_causal_side_effect_model,table_clearing,unstable_placement,4,96,0.59375,0.644468,0.665787,0.594489,0.024777,0.035246,0.078117,0.210058,0.065652,0.718356,0.055172,0.078199
full_causal_side_effect_model,table_clearing,unstable_placement,5,96,0.645833,0.639583,0.699482,0.595195,0.046169,0.0377,0.078335,0.210058,0.06831,0.718418,0.053094,0.084343
full_causal_side_effect_model,table_clearing,unstable_placement,6,96,0.697917,0.651687,0.750728,0.599707,0.022456,0.041709,0.075086,0.210058,0.062284,0.720777,0.056174,0.071808
full_causal_side_effect_model,table_clearing,unstable_placement,7,96,0.666667,0.658407,0.723402,0.592545,0.028161,0.033142,0.080077,0.210058,0.061437,0.714419,0.051327,0.079535
full_causal_side_effect_model,table_clearing,unstable_placement,8,96,0.677083,0.647744,0.731085,0.596472,0.026842,0.036618,0.079178,0.210058,0.066294,0.719812,0.053773,0.086504
full_causal_side_effect_model,table_clearing,unstable_placement,9,96,0.770833,0.644494,0.799936,0.587448,0.039282,0.042413,0.077854,0.210058,0.064055,0.723902,0.057839,0.083187
full_causal_side_effect_model,table_clearing,irreversible_change,0,96,0.572917,0.648682,0.64183,0.592313,0.036702,0.045239,0.081187,0.210321,0.06773,0.718471,0.054443,0.078019
full_causal_side_effect_model,table_clearing,irreversible_change,1,96,0.59375,0.641351,0.656738,0.585002,0.034587,0.050075,0.07458,0.210321,0.068925,0.713798,0.050831,0.078701
full_causal_side_effect_model,table_clearing,irreversible_change,2,96,0.708333,0.652979,0.747052,0.57275,0.029652,0.047503,0.075131,0.210321,0.064771,0.705306,0.059457,0.07905
full_causal_side_effect_model,table_clearing,irreversible_change,3,96,0.65625,0.647811,0.708522,0.593218,0.035379,0.047589,0.07011,0.210321,0.072037,0.714111,0.052159,0.079659
full_causal_side_effect_model,table_clearing,irreversible_change,4,96,0.65625,0.648942,0.705695,0.582697,0.035222,0.046406,0.08095,0.210321,0.069235,0.712167,0.061709,0.073752
full_causal_side_effect_model,table_clearing,irreversible_change,5,96,0.604167,0.641221,0.661071,0.569271,0.031531,0.0471,0.081496,0.210321,0.065433,0.703645,0.053884,0.08973
full_causal_side_effect_model,table_clearing,irreversible_change,6,96,0.614583,0.638094,0.671507,0.586145,0.037807,0.052768,0.080653,0.210321,0.064299,0.722222,0.063392,0.081678
full_causal_side_effect_model,table_clearing,irreversible_change,7,96,0.645833,0.636407,0.700165,0.605117,0.044384,0.047316,0.075377,0.210321,0.067,0.715078,0.04995,0.079485
full_causal_side_effect_model,table_clearing,irreversible_change,8,96,0.666667,0.639773,0.717175,0.582132,0.035161,0.042113,0.0829,0.210321,0.067768,0.730945,0.058001,0.078708
full_causal_side_effect_model,table_clearing,irreversible_change,9,96,0.625,0.640779,0.682761,0.589169,0.034072,0.047374,0.077606,0.210321,0.066467,0.712416,0.056058,0.07889
full_causal_side_effect_model,table_clearing,human_workspace_disruption,0,96,0.625,0.649132,0.683295,0.590264,0.037671,0.039677,0.078316,0.210584,0.064552,0.711382,0.053553,0.08758
full_causal_side_effect_model,table_clearing,human_workspace_disruption,1,96,0.708333,0.63569,0.746343,0.583726,0.043533,0.043644,0.073851,0.210584,0.068551,0.713006,0.052292,0.085077
full_causal_side_effect_model,table_clearing,human_workspace_disruption,2,96,0.708333,0.651658,0.746764,0.583603,0.045193,0.039773,0.083225,0.210584,0.069588,0.71785,0.049714,0.08257
full_causal_side_effect_model,table_clearing,human_workspace_disruption,3,96,0.645833,0.659107,0.701435,0.598214,0.046261,0.032472,0.081543,0.210584,0.064951,0.716741,0.055263,0.080956
