ablation,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
full_causal_side_effect_model,0,80,0.623177,0.011593,0.631478,0.682017,0.009674,0.587362,0.002293,0.034622,0.002148,0.042887,0.001931,0.077021,0.208939,0.066479,0.71441,0.05681,0.08209
full_causal_side_effect_model,1,80,0.624609,0.010466,0.62929,0.683401,0.008759,0.587212,0.002132,0.035214,0.002287,0.04154,0.002032,0.07656,0.208939,0.066575,0.713985,0.056092,0.081651
full_causal_side_effect_model,2,80,0.636719,0.011743,0.629664,0.69319,0.009803,0.58751,0.002024,0.03442,0.002045,0.041842,0.002152,0.076539,0.208939,0.066407,0.713384,0.056667,0.08187
full_causal_side_effect_model,3,80,0.625781,0.008783,0.630858,0.68483,0.007234,0.587955,0.002336,0.034396,0.002257,0.041912,0.00212,0.076148,0.208939,0.065854,0.715056,0.056077,0.082418
full_causal_side_effect_model,4,80,0.630469,0.010381,0.631494,0.688272,0.008811,0.587791,0.00208,0.034613,0.002026,0.041728,0.002099,0.076813,0.208939,0.066308,0.714595,0.057033,0.082251
full_causal_side_effect_model,5,80,0.631641,0.010683,0.629801,0.688425,0.008979,0.586501,0.002124,0.034728,0.002209,0.04253,0.002187,0.077698,0.208939,0.066975,0.712897,0.056132,0.082123
full_causal_side_effect_model,6,80,0.619141,0.011205,0.63109,0.679249,0.009337,0.58784,0.001858,0.033928,0.002231,0.042547,0.002139,0.07731,0.208939,0.066197,0.714522,0.056263,0.082136
full_causal_side_effect_model,7,80,0.627344,0.011034,0.631408,0.686927,0.009448,0.590224,0.002234,0.033994,0.002204,0.040747,0.002252,0.076766,0.208939,0.065923,0.716001,0.056696,0.082305
full_causal_side_effect_model,8,80,0.626563,0.010228,0.630107,0.685339,0.008524,0.588887,0.002135,0.035246,0.002242,0.041174,0.001848,0.077085,0.208939,0.066459,0.715463,0.057382,0.082089
full_causal_side_effect_model,9,80,0.642448,0.012056,0.630529,0.697111,0.009949,0.586806,0.002092,0.035987,0.00229,0.042176,0.00196,0.076643,0.208939,0.066635,0.71417,0.056936,0.081716
minus_side_effect_taxonomy,0,80,0.585286,0.012769,0.576575,0.596587,0.010927,0.439633,0.001983,0.072412,0.004601,0.050893,0.002925,0.085307,0.203385,0.078773,0.661932,0.106243,0.092752
minus_side_effect_taxonomy,1,80,0.583333,0.011903,0.574621,0.595269,0.010477,0.4379,0.002185,0.072002,0.004353,0.050497,0.002837,0.084239,0.203385,0.07717,0.66277,0.106251,0.093823
minus_side_effect_taxonomy,2,80,0.56862,0.012159,0.574267,0.58332,0.010862,0.437421,0.001956,0.071014,0.004544,0.051353,0.002886,0.084384,0.203385,0.077957,0.661847,0.106108,0.093261
minus_side_effect_taxonomy,3,80,0.575,0.010709,0.575586,0.588151,0.009247,0.437665,0.002362,0.07153,0.004417,0.051359,0.002926,0.085071,0.203385,0.078865,0.661968,0.106241,0.092852
minus_side_effect_taxonomy,4,80,0.576693,0.011492,0.575479,0.589922,0.010453,0.437744,0.00196,0.071489,0.00456,0.051081,0.002904,0.084327,0.203385,0.07799,0.663001,0.105643,0.093491
minus_side_effect_taxonomy,5,80,0.57487,0.010701,0.574794,0.588312,0.009243,0.440437,0.002238,0.072382,0.00461,0.051344,0.003009,0.085022,0.203385,0.078439,0.661776,0.105861,0.09349
minus_side_effect_taxonomy,6,80,0.569271,0.011347,0.574509,0.583524,0.010268,0.437276,0.001882,0.071761,0.004479,0.050765,0.002725,0.084612,0.203385,0.078147,0.661618,0.106744,0.094055
minus_side_effect_taxonomy,7,80,0.56849,0.011773,0.574571,0.58289,0.010226,0.436993,0.00224,0.071226,0.00466,0.051264,0.002963,0.085154,0.203385,0.078571,0.662042,0.106141,0.093835
minus_side_effect_taxonomy,8,80,0.57526,0.012029,0.574974,0.588823,0.01058,0.438149,0.002471,0.071764,0.004702,0.050496,0.002892,0.084126,0.203385,0.078268,0.662441,0.105992,0.093304
minus_side_effect_taxonomy,9,80,0.584375,0.010716,0.575698,0.596193,0.009372,0.438814,0.002227,0.071609,0.004628,0.050867,0.003012,0.083988,0.203385,0.078793,0.662718,0.105827,0.093119
minus_counterfactual_pairs,0,80,0.588411,0.011393,0.597323,0.619919,0.009706,0.518292,0.001684,0.054712,0.0032,0.050709,0.002937,0.092513,0.197829,0.0746,0.649157,0.077311,0.099159
minus_counterfactual_pairs,1,80,0.589583,0.01232,0.596143,0.620415,0.010694,0.517766,0.002466,0.054934,0.003395,0.051364,0.002963,0.092337,0.197829,0.075487,0.650184,0.077513,0.10016
minus_counterfactual_pairs,2,80,0.599349,0.012412,0.596819,0.628311,0.010782,0.515992,0.002277,0.054808,0.00335,0.050508,0.002838,0.092389,0.197829,0.074697,0.649585,0.076761,0.099724
minus_counterfactual_pairs,3,80,0.58138,0.010726,0.594414,0.61406,0.009555,0.516191,0.00198,0.054573,0.00324,0.050822,0.002986,0.091159,0.197829,0.075196,0.650118,0.07752,0.099291
minus_counterfactual_pairs,4,80,0.582943,0.012426,0.596868,0.614716,0.01085,0.516067,0.002311,0.055475,0.003058,0.050906,0.002829,0.091885,0.197829,0.075489,0.64939,0.077769,0.099699
minus_counterfactual_pairs,5,80,0.601302,0.012051,0.596488,0.629924,0.010681,0.515992,0.002029,0.054872,0.003159,0.050569,0.002934,0.091976,0.197829,0.074728,0.649763,0.07734,0.098937
minus_counterfactual_pairs,6,80,0.595703,0.011318,0.596014,0.624374,0.01003,0.514088,0.002145,0.055503,0.003189,0.051353,0.002988,0.092174,0.197829,0.075867,0.648862,0.077174,0.099332
minus_counterfactual_pairs,7,80,0.593099,0.012222,0.595808,0.623408,0.010796,0.516997,0.00235,0.054792,0.003335,0.050793,0.002962,0.092036,0.197829,0.074821,0.648992,0.077385,0.098826
minus_counterfactual_pairs,8,80,0.594661,0.012183,0.596315,0.624526,0.010316,0.516777,0.002214,0.055172,0.00313,0.050602,0.003082,0.091946,0.197829,0.075019,0.649282,0.07757,0.099058
minus_counterfactual_pairs,9,80,0.60013,0.011221,0.596141,0.628796,0.009728,0.517276,0.002247,0.055012,0.003272,0.05037,0.002824,0.092612,0.197829,0.075558,0.649149,0.078093,0.10005
