method,task,regime,split,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
success_only_policy,table_clearing,nominal,nominal,10,0.616667,0.023926,0.58757,0.566318,0.01921,0.172975,0.00301,0.053627,0.003266,0.032306,0.002122,0.048524,0.052124,0.063874,0.291704,0.047138,0.059446
success_only_policy,table_clearing,nominal,seen_shift,10,0.563542,0.030655,0.564463,0.512114,0.023749,0.14834,0.005716,0.061638,0.002854,0.030048,0.001653,0.056179,0.058566,0.065671,0.288205,0.062056,0.078306
success_only_policy,table_clearing,nominal,unseen_object,10,0.563542,0.031254,0.549267,0.504551,0.026114,0.146127,0.007141,0.066793,0.003561,0.034117,0.00179,0.064366,0.06286,0.070575,0.287059,0.070484,0.094867
success_only_policy,table_clearing,nominal,unseen_side_effect,10,0.515625,0.036681,0.538584,0.459376,0.030434,0.123322,0.005088,0.064222,0.002408,0.037333,0.001618,0.068936,0.066081,0.070359,0.282997,0.081731,0.098275
success_only_policy,table_clearing,nominal,human_preference_shift,10,0.542708,0.027128,0.537577,0.467222,0.022236,0.115357,0.004857,0.064506,0.002177,0.033124,0.002049,0.095157,0.067154,0.080077,0.278631,0.088552,0.178397
success_only_policy,table_clearing,nominal,delayed_effects,10,0.502083,0.035073,0.529165,0.43642,0.027727,0.128352,0.005153,0.072694,0.00294,0.036871,0.002817,0.07609,0.068765,0.078852,0.280435,0.149855,0.117506
success_only_policy,table_clearing,nominal,latent_damage_shift,10,0.533333,0.04204,0.525442,0.458874,0.033044,0.122525,0.005052,0.072822,0.002396,0.038478,0.002404,0.081337,0.070375,0.080376,0.276506,0.135767,0.126435
success_only_policy,table_clearing,nominal,combined_stress,10,0.508333,0.034808,0.516266,0.426539,0.028918,0.10452,0.004543,0.077328,0.003753,0.03972,0.003168,0.094287,0.073059,0.084734,0.274877,0.14357,0.168147
success_only_policy,table_clearing,force_damage,nominal,10,0.541667,0.015815,0.541709,0.47807,0.013378,0.171404,0.00525,0.085989,0.003914,0.078201,0.002785,0.045815,0.057052,0.075975,0.27058,0.059343,0.062168
success_only_policy,table_clearing,force_damage,seen_shift,10,0.513542,0.021958,0.508733,0.433484,0.019582,0.146999,0.00787,0.105365,0.00346,0.094773,0.002939,0.057305,0.064569,0.083223,0.267824,0.079724,0.083419
success_only_policy,table_clearing,force_damage,unseen_object,10,0.492708,0.0195,0.48645,0.403592,0.015183,0.145573,0.006319,0.123917,0.003372,0.101027,0.00106,0.064608,0.06958,0.090467,0.2597,0.088392,0.099135
success_only_policy,table_clearing,force_damage,unseen_side_effect,10,0.457292,0.033816,0.462047,0.359232,0.027302,0.120042,0.005253,0.129658,0.00307,0.125189,0.001981,0.066074,0.073338,0.095735,0.254916,0.099322,0.102523
success_only_policy,table_clearing,force_damage,human_preference_shift,10,0.471875,0.025107,0.464998,0.361737,0.019798,0.115523,0.006002,0.125511,0.002971,0.111076,0.002073,0.093003,0.074591,0.103167,0.253094,0.109418,0.184853
success_only_policy,table_clearing,force_damage,delayed_effects,10,0.454167,0.025318,0.454427,0.344911,0.020143,0.125045,0.007309,0.135633,0.00276,0.122382,0.001235,0.074738,0.07647,0.102464,0.251097,0.179949,0.120403
success_only_policy,table_clearing,force_damage,latent_damage_shift,10,0.43125,0.033782,0.442033,0.319928,0.026551,0.113191,0.005666,0.14061,0.003483,0.131069,0.002621,0.079093,0.07835,0.104673,0.251958,0.163869,0.132703
